IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,q0010,q0011,q0012,q0013,q0014,q0015,q0016,q0017,q0019,q0023,q0026,q0027,q0028,q0029,q0030,q0031,q0032,q0035,q0037,q0038,q0039,q0040,q0042,q0044,q0045,q0046,q0047,q0048,q0049,q0050,q0052,q0053,q0054,q0055,q0057,q0058,q0061,q0063,q0065,q0066,q0067,q0068,q0070,q0072,q0073,q0074,q0075,q0076,q0077,q0078,q0080,q0081,q0083,q0084,q0085,q0087,q0088,q0089,q0090,q0091,q0092,q0093,q0095,q0097,q0098,q0100,q0101,q0102,q0104,q0105,q0109,q0110,q0111,q0113,q0114,q0115,q0116,q0117,q0118,q0119,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
362021,Sp,6,Male,High school graduate (including GED),Hispanic,midwest,1,1,1,1,1,1,3,2,2,1,1,4,3,4,3,1,3,1,4,1,1,2,1,1,1,1,1,3,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,3,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,4,1,1,1,4,1,1,3.5 to 6 mo,94,14,25,13,14,11,17,14,16
318135,Sp,6,Male,High school graduate (including GED),Hispanic,midwest,2,3,3,3,3,3,2,3,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,3.5 to 6 mo,72,26,11,14,13,12,11,11,13
318136,Sp,7,Female,High school graduate (including GED),Hispanic,midwest,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,7 to 10.5 mo,64,30,11,12,10,10,10,11,12
362030,Sp,7,Female,High school graduate (including GED),Hispanic,south,1,1,2,1,1,2,2,1,1,1,4,2,1,1,3,1,2,2,3,3,1,2,2,1,2,1,4,4,1,2,1,1,3,1,2,2,2,1,2,1,1,2,1,1,2,1,4,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,4,2,2,3,3,3,3,7 to 10.5 mo,105,13,22,20,16,16,15,16,23
362029,Sp,6,Female,High school graduate (including GED),Hispanic,south,1,1,1,2,1,2,2,1,1,1,4,4,1,3,4,1,3,1,4,1,2,3,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3.5 to 6 mo,87,13,26,16,11,11,12,11,11
369024,Sp,5,Male,Bachelor's degree or higher,Hispanic,west,1,2,1,1,1,2,2,1,1,1,3,3,1,3,2,1,2,3,3,2,1,1,2,1,1,1,2,4,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,4,1,4,1,1,1,1,4,1,1,1,1,1,1,2,1,1,2,1,1,1,1,4,2,1,3,3,4,2,3.5 to 6 mo,95,13,23,15,13,12,20,12,22
362044,Sp,4,Male,Bachelor's degree or higher,Hispanic,south,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3,2,3,1,3,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,4,2,2,3,1,3,2,2,4,3,2,2,2,2,1,2,2,2,1,3,2,1,2,1,1,1,1,2,1,3,2,2,1,2,1,1,1,2,2,2,2,1,1,1,3.5 to 6 mo,113,10,24,13,20,23,17,16,14
362048,Sp,4,Female,Did not complete high school (no diploma),Hispanic,west,1,2,1,1,1,2,2,2,1,1,3,3,1,1,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,3,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,4,4,3,4,3,1,2,3.5 to 6 mo,102,14,22,19,16,20,11,14,25
362046,Sp,9,Male,High school graduate (including GED),Hispanic,south,2,2,2,2,2,3,3,2,2,2,3,3,2,3,3,2,2,3,3,3,2,2,2,2,2,3,3,3,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,2,1,1,3,3,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,2,3,2,2,2,3,2,3,7 to 10.5 mo,112,22,27,22,16,15,15,17,22
362052,Sp,4,Female,Bachelor's degree or higher,Hispanic,west,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4,1,3,1,4,1,1,1,1,1,2,1,2,3,1,1,3,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,1,3,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,1,3.5 to 6 mo,99,11,27,14,16,14,13,15,14
362057,Sp,9,Female,Some college or associate degree,Hispanic,northeast,3,3,4,3,3,4,4,4,3,3,2,2,1,2,2,3,2,2,1,1,2,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1,2,3,2,2,1,1,3,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,1,7 to 10.5 mo,99,34,18,16,15,19,15,16,14
362060,Sp,5,Male,Some college or associate degree,Hispanic,west,3,4,4,3,2,4,4,4,3,4,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,3,1,2,2,1,1,2,1,2,2,2,1,2,1,3,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,3,2,3,1,1,1,2,2,3.5 to 6 mo,88,35,14,14,17,16,14,13,18
369023,Sp,9,Female,Bachelor's degree or higher,Hispanic,west,1,1,1,2,2,2,2,1,1,1,4,3,1,3,3,1,2,1,4,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7 to 10.5 mo,86,14,23,13,12,11,15,12,10
