IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0014,q0015,q0016,q0022,q0023,q0024,q0025,q0026,q0027,q0028,q0029,q0031,q0033,q0034,q0036,q0037,q0039,q0040,q0041,q0042,q0043,q0045,q0046,q0047,q0048,q0050,q0053,q0055,q0056,q0057,q0058,q0060,q0061,q0063,q0064,q0065,q0066,q0069,q0071,q0072,q0073,q0074,q0075,q0076,q0079,q0080,q0081,q0084,q0086,q0087,q0088,q0090,q0091,q0092,q0094,q0095,q0096,q0097,q0099,q0100,q0103,q0105,q0107,q0108,q0109,q0110,q0111,q0112,q0113,q0114,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0129,q0131,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
100003,In-house-Eng,42,41.00 to 50.99 years,Male,Bachelor's degree or higher,Black,west,1,1,1,1,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,15,10,11,12,10,10,10,10
100002,In-house-Eng,34,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,west,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,62,13,10,11,10,10,10,11,11
233002,In-house-Eng,64,51.00 to 64.99 years,Female,Some college or associate degree,White,west,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,63,12,11,11,11,10,10,10,12
233001,In-house-Eng,66,65.00 to 99.99 years,Male,Some college or associate degree,White,west,1,3,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,63,14,11,10,10,11,10,11,12
233007,In-house-Eng,64,51.00 to 64.99 years,Male,High school graduate (including GED),White,south,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,11,10,11,10,10,10,10,10
233009,In-house-Eng,50,41.00 to 50.99 years,Male,High school graduate (including GED),White,northeast,1,4,2,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,70,16,12,12,12,10,14,10,14
233008,In-house-Eng,45,41.00 to 50.99 years,Female,Some college or associate degree,White,northeast,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,2,3,1,1,1,1,1,1,77,11,15,13,14,13,11,11,16
233006,In-house-Eng,64,51.00 to 64.99 years,Female,Bachelor's degree or higher,White,south,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,61,12,10,10,10,10,10,11,11
100006,In-house-Eng,22,21.00 to 30.99 years,Female,Bachelor's degree or higher,Hispanic,west,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,68,13,11,11,12,12,10,12,10
100014,In-house-Eng,30,21.00 to 30.99 years,Female,Some college or associate degree,Hispanic,west,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,70,13,11,10,14,13,12,10,13
