form,item,median
Adult-Other,q0014,1
,q0015,3
,q0016,1
,q0022,2
,q0023,1
,q0024,1
,q0025,1
,q0026,1
,q0027,2
,q0028,1
,q0029,1
,q0031,1
,q0033,1
,q0034,1
,q0036,1
,q0037,1
,q0039,1
,q0040,1
,q0041,1
,q0042,1
,q0043,1
,q0045,1
,q0046,1
,q0047,2
,q0048,1
,q0050,1
,q0053,1
,q0055,2
,q0056,1
,q0057,2
,q0058,2
,q0060,1
,q0061,1
,q0063,1
,q0064,1
,q0065,1
,q0066,1
,q0069,1
,q0071,1
,q0072,2
,q0073,1
,q0074,2
,q0075,1
,q0076,1
,q0079,1
,q0080,1
,q0081,2
,q0084,1
,q0086,1
,q0087,2
,q0088,1
,q0090,1
,q0091,1
,q0092,1
,q0094,1
,q0095,1
,q0096,1
,q0097,1
,q0099,1
,q0100,1
,q0103,1
,q0105,1
,q0107,1
,q0108,1
,q0109,1
,q0110,1
,q0111,1
,q0112,1
,q0113,1
,q0114,1
,q0118,1
,q0119,1
,q0120,1
,q0121,2
,q0122,1
,q0123,1
,q0124,1
,q0125,1
,q0129,1
,q0131,1
Adult-Self,q0013,2
,q0014,2
,q0016,2
,q0018,2
,q0020,2
,q0021,1
,q0023,2
,q0024,1
,q0026,2
,q0027,2
,q0029,2
,q0030,1
,q0031,2
,q0032,1
,q0033,1
,q0034,1
,q0036,1
,q0037,1
,q0040,2
,q0041,2
,q0043,1
,q0044,2
,q0046,1
,q0047,2
,q0049,2
,q0050,1
,q0051,2
,q0053,2
,q0054,2
,q0057,2
,q0058,2
,q0059,2
,q0060,2
,q0061,3
,q0062,1
,q0063,2
,q0064,2
,q0067,1
,q0068,1
,q0069,1
,q0073,2
,q0075,2
,q0076,1
,q0077,2
,q0081,1
,q0082,2
,q0083,2
,q0084,2
,q0086,1
,q0087,2
,q0089,2
,q0090,1
,q0091,1
,q0092,1
,q0093,1
,q0096,2
,q0098,1
,q0099,1
,q0100,1
,q0101,1
,q0103,1
,q0104,1
,q0105,1
,q0106,2
,q0108,1
,q0111,2
,q0113,1
,q0114,2
,q0115,2
,q0117,2
,q0118,2
,q0119,1
,q0122,2
,q0126,2
,q0127,1
,q0128,1
,q0129,2
,q0130,1
,q0131,2
,q0132,2
Child-512_Home,q0014,2
,q0015,2
,q0016,2
,q0017,1
,q0018,2
,q0019,2
,q0020,1
,q0021,1
,q0022,2
,q0023,2
,q0027,1
,q0028,1
,q0029,1
,q0030,1
,q0031,1
,q0035,1
,q0036,1
,q0037,1
,q0038,1
,q0039,1
,q0040,1
,q0041,1
,q0042,1
,q0043,1
,q0044,1
,q0045,1
,q0046,1
,q0047,1
,q0048,1
,q0050,1
,q0053,1
,q0055,1
,q0057,1
,q0058,1
,q0059,1
,q0060,1
,q0061,1
,q0063,1
,q0064,1
,q0065,1
,q0068,1
,q0070,1
,q0071,1
,q0072,1
,q0073,1
,q0075,2
,q0076,1
,q0077,2
,q0078,1
,q0079,1
,q0081,1
,q0082,1
,q0083,1
,q0084,1
,q0086,1
,q0088,1
,q0089,1
