scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
TOT_raw,711,99.79,21.921,442,99.681,21.839,0.005
SOC_raw,711,18.163,4.397,442,18.247,4.338,0.019
VIS_raw,711,15.948,4.371,442,15.937,4.293,0.003
HEA_raw,711,18.629,5.281,442,18.502,5.255,0.024
TOU_raw,711,17.395,4.421,442,17.425,4.388,0.007
TS_raw,711,17.439,4.457,442,17.511,4.351,0.016
BOD_raw,711,13.977,3.983,442,14.029,3.968,0.013
BAL_raw,711,16.402,4.805,442,16.276,4.834,0.026
PLA_raw,711,16.599,4.898,442,16.59,4.917,0.002
