ID,Communication_ss,FuncP_ss,School_ss,Health_ss,Leisure_ss,SelfCare_ss,SelfDirection_ss,Social_ss,Motor_ss,GAC_StanS,Con_StanS,Soc_StanS,Prac_StanS
178013,10,11,12,11,10,10,15,14,9,105,110,109,104
178016,10,14,13,14,14,16,16,13,14,120,119,118,120
178068,8,10,9,10,7,10,7,9,11,91,87,88,95
178069,9,14,10,10,8,10,8,9,10,95,99,91,97
198001,10,10,7,10,8,10,8,11,7,91,94,96,92
198002,9,12,13,9,10,11,13,11,10,102,106,101,104
198003,11,10,12,9,10,10,11,11,11,100,101,103,99
198004,10,10,11,11,10,9,9,8,11,96,95,94,99
198005,10,12,9,10,10,11,11,9,10,97,103,95,97
198007,9,7,12,9,8,11,13,10,10,96,95,93,101
198008,7,7,9,7,10,9,14,8,8,89,93,93,87
198009,9,11,11,9,10,9,13,11,10,99,104,105,96
214002,15,16,10,11,12,14,13,16,16,120,120,120,108
214003,10,10,10,12,12,11,10,9,9,98,97,101,103
214017,10,11,9,7,11,9,10,12,14,98,99,107,88
214021,12,10,14,15,14,11,15,14,13,120,113,120,120
214024,14,15,14,14,12,13,12,10,16,120,120,104,120
383039,11,18,12,13,13,14,14,14,14,120,120,118,118
383040,15,19,15,15,15,16,17,17,18,120,120,120,120
383041,15,16,15,11,15,11,15,13,10,120,120,120,113
383042,13,13,12,12,14,12,14,13,13,118,119,118,111
383043,14,16,14,12,14,14,16,13,16,120,120,119,120
