T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,162--240,34--40,32--40,30--40,30--40,30--40,30--40,26--40,35--40
74,155--161,-,31,-,29,-,-,-,32--34
73,150--154,33,-,28--29,27--28,27--29,29,25,-
72,144--149,-,26--30,-,26,25--26,27--28,-,28--31
71,142--143,32,-,27,-,24,26,24,27
70,136--141,-,25,26,25,22--23,-,23,-
69,132--135,31,24,-,24,21,25,22,26
68,128--131,-,23,25,23,20,24,21,-
67,124--127,-,-,24,22,18--19,23,20,25
66,118--123,30,22,23,21,17,22,19,-
65,110--117,-,21,22,20,-,21,18,24
64,105--109,29,-,21,19,16,20,-,23
63,103--104,28,20,20,18,15,19,17,22
62,98--102,27,19,19,-,-,18,16,21
61,95--97,26,18,18,17,14,-,-,20
60,93--94,-,-,17,-,-,17,15,-
59,91--92,25,17,-,16,-,16,-,19
58,88--90,24,-,16,15,13,15,14,-
57,85--87,23,16,-,-,-,-,-,18
56,83--84,-,-,-,14,-,14,13,17
55,81--82,22,15,15,-,12,-,-,-
54,79--80,-,-,-,13,-,13,-,16
53,76--78,21,14,14,-,-,-,12,-
52,75,20,-,-,-,-,-,-,15
51,74,-,13,13,12,-,12,-,-
50,72--73,19,-,-,-,11,-,-,14
49,71,18,-,-,-,-,-,11,-
48,70,-,-,12,-,-,11,-,13
47,68--69,17,12,-,11,-,-,-,-
46,67,16,-,-,-,-,-,-,12
45,66,15,-,-,-,-,-,-,-
44,-,-,-,11,-,-,-,-,-
43,65,14,11,-,-,-,-,-,11
42,64,-,-,-,-,-,-,-,-
41,-,13,-,-,-,10,-,10,-
40,63,-,-,-,-,-,10,-,-
39,62,12,-,-,10,-,-,-,-
38,-,-,-,10,-,-,-,-,-
37,61,-,10,-,-,-,-,-,10
36,-,11,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-
32,60,-,-,-,-,-,-,-,-
31,-,10,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
