IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,QT1,QT2,QT4,QT5,QT6,QT7,QT10,QT11,QT12,QT13,QT14,QT15,QT17,QT18,QT19,QT20,QT21,QT23,QT25,QT26,QT27,QT28,QT30,QT31,QT32,QT33,QT34,QT35,QT37,QT39,QT41,QT43,QT45,QT46,QT47,QT48,QT49,QT50,QT51,QT54,QT55,QT56,QT57,QT60,QT62,QT65,QT66,QT67,QT68,QT69,QT71,QT72,QT73,QT74,QT75,QT76,QT77,QT78,QT79,QT81,QT83,QT85,QT86,QT87,QT89,QT91,QT92,QT93,QT94,QT95,QT96,QT97,QT98,QT100,QT101,QT103,QT105,QT106,QT107,QT108,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
,SM,4,Male,Some college or associate degree,White,west,3,3,3,3,3,2,1,1,3,2,2,2,2,3,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,3,2,2,1,2,2,2,2,3,1,2,2,2,2,03.5 to 10 mo,86,24,17,12,12,16,11,18,20
,SM,12,Male,Some college or associate degree,White,south,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,3,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,11 to 31.5 mo,79,13,12,13,12,16,12,14,13
700202,Qual,8,Male,Some college or associate degree,White,south,1,1,1,1,1,1,1,1,4,4,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,2,1,1,1,1,1,3,1,3,1,1,2,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,03.5 to 10 mo,83,16,13,16,14,16,11,13,11
700203,Qual,6,Male,High school graduate (including GED),White,south,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,3,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,3,1,1,2,1,2,1,1,1,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,03.5 to 10 mo,89,13,14,19,12,15,15,14,12
700204,Qual,7,Male,High school graduate (including GED),MultiRacial,south,1,1,1,2,2,1,2,1,4,4,1,1,1,3,1,1,1,1,1,1,1,2,2,4,1,1,2,1,1,4,1,1,1,4,1,1,1,3,2,2,2,2,1,2,2,2,3,1,2,3,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,2,1,1,1,1,1,2,03.5 to 10 mo,95,19,12,19,17,20,13,14,13
700205,Qual,7,Male,High school graduate (including GED),MultiRacial,west,1,1,1,1,1,1,1,1,4,4,2,1,2,4,1,1,3,1,1,1,1,1,1,4,1,1,1,1,1,3,4,1,1,4,1,1,1,1,1,1,4,1,1,1,1,3,1,4,2,1,1,1,1,1,4,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,2,4,03.5 to 10 mo,93,16,17,15,16,19,15,11,20
700206,Qual,4,Male,Some college or associate degree,Black,south,1,1,1,1,1,1,1,1,4,4,3,2,2,3,1,1,2,1,1,4,1,1,1,2,1,1,1,1,2,1,3,1,1,3,1,1,1,2,1,1,2,2,1,1,2,3,1,2,3,1,1,3,1,1,1,1,1,1,1,1,1,1,4,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,94,16,20,12,15,18,12,17,10
700207,Qual,6,Female,High school graduate (including GED),White,midwest,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,4,1,1,1,1,1,1,4,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,03.5 to 10 mo,78,10,10,15,16,15,10,12,11
700208,Qual,6,Male,High school graduate (including GED),Hispanic,northeast,1,1,1,1,1,1,2,1,2,2,3,1,1,4,1,2,2,1,1,1,1,2,1,4,2,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,2,3,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,2,1,1,1,1,2,3,1,2,1,1,3,03.5 to 10 mo,87,13,17,17,12,15,12,14,16
700209,Qual,5,Female,High school graduate (including GED),White,midwest,1,1,1,1,3,1,1,1,3,3,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,03.5 to 10 mo,73,16,14,11,13,13,10,12,11
700210,Qual,9,Female,High school graduate (including GED),White,south,4,4,1,4,3,3,1,1,1,2,1,1,1,2,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2,4,4,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,03.5 to 10 mo,84,24,13,15,16,16,13,11,13
700211,Qual,6,Female,Some college or associate degree,Hispanic,northeast,3,3,2,3,4,3,1,1,1,2,2,3,2,4,1,2,2,1,2,2,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,4,2,1,4,2,2,1,4,3,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,03.5 to 10 mo,103,23,21,15,10,25,13,19,15
700212,Qual,6,Female,Some college or associate degree,White,south,3,3,3,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,3,1,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,3,2,3,3,2,3,03.5 to 10 mo,142,21,20,20,21,26,25,30,24
700213,Qual,5,Male,High school graduate (including GED),Black,west,1,3,1,2,2,2,1,2,1,4,2,1,1,4,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,3,1,1,4,1,2,1,2,1,1,2,2,1,2,2,1,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,88,19,15,13,17,15,14,14,10
700214,Qual,7,Male,Some college or associate degree,Hispanic,west,3,2,2,2,2,1,2,2,3,3,1,1,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,1,2,2,1,1,2,2,1,2,2,4,2,2,3,2,2,2,1,1,4,2,2,2,1,2,2,2,2,2,2,1,1,2,3,2,3,2,1,2,2,2,1,2,2,2,3,2,1,3,03.5 to 10 mo,115,22,17,20,17,21,21,19,20
700215,Qual,8,Female,High school graduate (including GED),Hispanic,west,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,72,26,11,17,14,10,10,10,10
700216,Qual,5,Male,Did not complete high school (no diploma),White,south,1,2,1,1,1,1,1,1,3,3,3,2,2,4,1,2,1,1,1,2,1,1,1,3,2,3,1,1,2,3,3,1,1,1,2,1,1,4,2,1,1,2,1,1,2,2,2,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,3,2,1,2,1,1,1,1,2,2,1,1,1,1,2,03.5 to 10 mo,100,15,19,18,17,19,11,16,13
700217,Qual,8,Female,Some college or associate degree,White,south,1,2,2,3,3,2,1,2,3,3,1,1,2,4,3,3,1,1,2,3,1,2,1,2,1,1,2,2,2,2,1,1,2,3,1,1,1,1,1,1,2,3,2,1,1,2,1,1,2,2,2,3,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,3,1,1,1,2,2,3,1,1,1,2,1,03.5 to 10 mo,97,22,21,16,13,17,15,15,15
700218,Qual,6,Male,Some college or associate degree,White,south,2,1,1,1,1,1,2,2,3,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,1,03.5 to 10 mo,76,16,12,15,12,14,10,13,11
