IDNumber,Age,AgeGroup,Gender,HighestEducation,Ethnicity,Region,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
141008,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,MultiRacial,south,67,19,11,11,12,11,10,12,12,39,56,42,39,43,39,39,49,45
141009,37,31.00 to 40.99 years,Male,Some college or associate degree,White,south,90,18,14,16,12,18,17,13,11,55,54,53,54,43,58,63,52,41
141012,22,21.00 to 30.99 years,Male,High school graduate (including GED),White,south,94,23,23,17,15,11,17,11,14,57,63,68,56,53,39,63,44,51
141011,23,21.00 to 30.99 years,Female,Some college or associate degree,White,south,145,22,23,28,21,29,23,21,25,72,62,68,69,65,70,72,69,68
141017,35,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,110,21,17,20,20,20,15,18,15,63,60,60,61,64,61,59,64,54
141010,24,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,97,15,20,20,14,20,11,12,18,58,47,64,61,50,61,44,49,59
141015,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,83,18,15,20,14,11,12,11,19,51,54,55,61,50,39,49,44,61
141022,38,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,115,21,16,24,20,19,17,19,18,64,60,58,66,64,60,63,66,59
141023,23,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,76,12,10,16,12,17,11,10,12,46,38,37,54,43,56,44,39,45
141019,24,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,99,18,18,16,23,15,15,12,16,59,54,61,54,68,52,59,49,56
141025,22,21.00 to 30.99 years,Male,Some college or associate degree,Asian,south,95,19,15,19,16,14,14,17,18,57,56,55,60,56,49,56,63,59
141014,38,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,104,16,20,19,17,21,15,12,17,61,50,64,60,58,62,59,49,58
141033,41,41.00 to 50.99 years,Female,Bachelor's degree or higher,White,south,73,22,11,12,14,13,12,11,14,44,62,42,43,50,46,49,44,51
141007,22,21.00 to 30.99 years,Male,Some college or associate degree,White,south,79,19,13,15,13,14,12,12,15,48,56,50,52,47,49,49,49,54
141031,42,41.00 to 50.99 years,Male,Some college or associate degree,White,south,106,20,26,20,18,16,14,12,23,61,58,71,61,60,54,56,49,66
141030,41,41.00 to 50.99 years,Female,Some college or associate degree,White,south,114,25,13,19,20,28,16,18,16,64,66,50,60,64,69,61,64,56
143001,34,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,northeast,78,19,12,18,13,12,12,11,10,48,56,46,58,47,43,49,44,36
141062,65,65.00 to 99.99 years,Female,Bachelor's degree or higher,MultiRacial,south,98,16,20,20,14,16,10,18,19,58,50,64,61,50,54,39,64,61
141061,65,65.00 to 99.99 years,Male,Bachelor's degree or higher,White,south,87,16,14,17,13,17,14,12,15,53,50,53,56,47,56,56,49,54
141024,25,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,66,18,11,11,11,10,10,13,13,38,54,42,39,38,35,39,52,48
143006,40,31.00 to 40.99 years,Male,High school graduate (including GED),White,northeast,68,25,10,12,13,11,12,10,16,40,66,37,43,47,39,49,39,56
141029,34,31.00 to 40.99 years,Female,Some college or associate degree,Hispanic,south,98,11,17,19,16,19,14,13,20,58,35,60,60,56,60,56,52,62
141028,34,31.00 to 40.99 years,Male,Bachelor's degree or higher,MultiRacial,south,70,13,14,11,13,11,11,10,15,42,41,53,39,47,39,44,39,54
141114,37,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,92,14,16,24,15,13,13,11,11,56,44,58,66,53,46,53,44,41
141027,35,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,124,15,26,26,19,24,16,13,27,67,47,71,67,62,66,61,52,69
141116,32,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,72,11,13,14,13,12,10,10,10,43,35,50,49,47,43,39,39,36
141112,30,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,67,17,10,11,13,12,10,11,12,39,52,37,39,47,43,39,44,45
143002,34,31.00 to 40.99 years,Male,High school graduate (including GED),White,northeast,86,13,13,13,14,15,17,14,12,52,41,50,47,50,52,63,55,45
141118,40,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,85,17,13,15,17,16,12,12,15,52,52,50,52,58,54,49,49,54
141122,32,31.00 to 40.99 years,Male,High school graduate (including GED),White,south,94,24,20,20,17,10,16,11,14,57,65,64,61,58,35,61,44,51
141032,45,41.00 to 50.99 years,Male,Some college or associate degree,White,south,60,10,10,10,10,10,10,10,10,32,31,37,34,33,35,39,39,36
141113,35,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,107,15,26,19,18,15,15,14,23,62,47,71,60,60,52,59,55,66
141111,30,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,101,21,17,22,17,18,14,13,21,60,60,60,64,58,58,56,52,64
143007,36,31.00 to 40.99 years,Female,Some college or associate degree,White,northeast,104,23,22,21,20,17,12,12,19,61,63,67,62,64,56,49,49,61
141110,34,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,67,15,10,12,13,11,10,11,11,39,47,37,43,47,39,39,44,41
141109,34,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,101,24,17,22,18,22,10,12,15,60,65,60,64,60,64,39,49,54
143015,31,31.00 to 40.99 years,Male,Did not complete high school (no diploma),Hispanic,northeast,91,26,23,21,14,11,12,10,13,55,68,68,62,50,39,49,39,48
143016,28,21.00 to 30.99 years,Female,Did not complete high school (no diploma),Hispanic,northeast,75,29,13,10,10,21,11,10,15,46,72,50,34,33,62,44,39,54
144014,44,41.00 to 50.99 years,Male,Bachelor's degree or higher,Black,south,61,15,10,10,11,10,10,10,10,33,47,37,34,38,35,39,39,36
144008,64,51.00 to 64.99 years,Male,Bachelor's degree or higher,White,south,65,11,11,10,11,11,10,12,11,37,35,42,34,38,39,39,49,41
