IDNumber,Age,AgeGroup,Gender,HighestEducation,Ethnicity,Region,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
141011,23,21.00 to 30.99 years,Female,Some college or associate degree,White,south,115,16,17,22,22,22,16,16,15,59,47,54,57,62,62,59,51,48
141012,22,21.00 to 30.99 years,Male,High school graduate (including GED),White,south,128,21,24,25,17,20,21,21,23,64,59,66,62,51,58,68,61,64
141007,22,21.00 to 30.99 years,Male,Some college or associate degree,White,south,117,19,21,24,21,17,15,19,24,59,55,62,60,60,51,56,58,65
141008,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,MultiRacial,south,101,18,14,21,16,14,17,19,18,52,52,46,55,49,43,61,58,55
141017,35,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,105,15,17,21,20,18,11,18,16,54,44,54,55,58,53,42,56,51
141009,37,31.00 to 40.99 years,Male,Some college or associate degree,White,south,114,19,21,19,19,16,16,23,19,58,55,62,51,56,49,59,64,57
141010,24,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,109,17,18,24,20,17,12,18,13,56,50,56,60,58,51,47,56,43
141019,24,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,92,20,15,21,17,13,12,14,17,48,57,49,55,51,40,47,46,53
141023,23,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,108,19,17,20,22,19,13,17,15,56,55,54,53,62,56,50,54,48
141014,38,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,124,15,19,22,14,26,26,17,22,62,44,58,57,43,68,73,54,62
141025,22,21.00 to 30.99 years,Male,Some college or associate degree,Asian,south,149,19,23,31,26,24,24,21,21,71,55,65,70,69,65,71,61,60
141015,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,92,19,15,24,15,14,13,11,18,48,55,49,60,46,43,50,35,55
141024,25,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,101,17,14,23,15,17,14,18,23,52,50,46,58,46,51,54,56,64
141030,41,41.00 to 50.99 years,Female,Some college or associate degree,White,south,112,23,19,21,18,22,12,20,18,57,63,58,55,54,62,47,60,55
141031,42,41.00 to 50.99 years,Male,Some college or associate degree,White,south,108,22,19,24,22,20,12,11,20,56,61,58,60,62,58,47,35,59
