CollectorNm,RespondentID,CollectorID,StartDate,EndDate,IPAddress,EmailAddress,FirstName,LastName,CustomData1,IDNumber,Month,Day,Year,DOBMonth,DOBDay,DOBYear,Age,Gender,Grade,ZipCode,Hispanic,AmericanIndAlaskanNat,Asian,Black,NativeHawPacIsl,White,Other,OtherSpecified,q0010,q0010_other,q0011,ParentHighestEducation,q0013,q0014,q0015,q0016,q0017,q0018,q0019,q0020,q0021,q0022,q0023,q0024,q0025,q0026,q0027,q0028,q0029,q0030,q0031,q0032,q0033,q0034,q0035,q0036,q0037,q0038,q0039,q0040,q0041,q0042,q0043,q0044,q0045,q0046,q0047,q0048,q0049,q0050,q0051,q0052,q0053,q0054,q0055,q0056,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0065,q0066,q0067,q0068,q0069,q0070,q0071,q0072,q0073,q0074,q0075,q0076,q0077,q0078,q0079,q0080,q0081,q0082,q0083,q0084,q0085,q0086,q0087,q0088,q0089,q0090,q0091,q0092,q0093,q0094,q0095,q0096,q0097,q0098,q0099,q0100,q0101,q0102,q0103,q0104,q0105,q0106,q0107,q0108,q0109,q0110,q0111,q0112,q0113,q0114,q0115,q0116,q0117,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0126,q0127,q0128,q0129,q0130,q0131,q0132,q0133,q0134,q0135,q0136,q0137,Zip,Region,P_RateDt,P_DOB,P_Age,AgeGroup,Count,Ethnicity,count_total
Web Link 1,5184423615,95276301,01/22/2017 12:48:59,01/27/2017 11:34:16,64.203.245.2, , , , ,118017,01,22,2017,06,18,2003,13,Female,8,29906,No, , , , ,White, , ,No, ,No,Bachelor's degree or higher,3,Always,Always,Always,Frequently,Never,Occasionally,Never,Frequently,Occasionally,Occasionally,Never,Occasionally,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Frequently,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Occasionally,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never, , , , , , , , , , , , , , , , , , , ,29906,south,1/22/2017,6/18/2003,13.5989048596851,12.00 to 13.99,1,White,1
Web Link 1,5209041503,95276301,02/05/2017 02:38:26,02/05/2017 02:50:53,76.76.33.72, , , , ,105026,02,05,2017,11,14,2003,13,Male,7,43504,No, , , , ,White, , ,No, ,No,Bachelor's degree or higher,1,Always,Always,Frequently,Frequently,Occasionally,Never,Never,Occasionally,Never,Never,Never,Occasionally,Frequently,Never,Occasionally,Occasionally,Always,Occasionally,Never,Never,Never,Frequently,Occasionally,Always,Occasionally,Never,Never,Occasionally,Frequently,Occasionally,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,Frequently,Always,Occasionally,Frequently,Never,Occasionally,Occasionally,Never,Always,Frequently,Never,Occasionally,Never,Never,Occasionally,Occasionally,Frequently,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Always,Frequently,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Always,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Frequently,Occasionally,Never,Occasionally,Occasionally,Frequently,Always,Occasionally,Occasionally,Frequently,Never,Always,Never,Occasionally, , , , , , , , , , , , , , , , , , , ,43504,midwest,2/5/2017,11/14/2003,13.2292950034223,12.00 to 13.99,1,White,1
Web Link 1,5211819361,95276301,02/06/2017 02:07:11,02/06/2017 02:17:29,108.73.84.161, , , , ,137003,02,06,2017,05,19,2003,13,Female,8,44129,No, , , , ,White, , ,No, ,No,Bachelor's degree or higher,1,Always,Always,Always,Always,Frequently,Frequently,Never,Frequently,Never,Occasionally,Never,Always,Always,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally, , , , , , , , , , , , , , , , , , , ,44129,midwest,2/6/2017,5/19/2003,13.7221081451061,12.00 to 13.99,1,White,1
Web Link 1,5212231426,95276301,02/06/2017 04:41:42,02/06/2017 05:03:12,72.240.174.134, , , , ,105034,02,06,2017,04,16,2001,15,Female,10,43551,No, , , , ,White, , ,Yes,"POTS, Depression, and anxiety",Yes,Did not complete high school (no diploma),2,Frequently,Frequently,Occasionally,Frequently,Frequently,Never,Never,Always,Never,Frequently,Occasionally,Occasionally,Frequently,Always,Always,Never,Frequently,Never,Never,Never,Occasionally,Occasionally,Always,Frequently,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Never,Always,Occasionally,Always,Occasionally,Never,Never,Never,Never,Occasionally,Always,Frequently,Never,Never,Always,Frequently,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Never,Frequently,Occasionally,Occasionally,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Occasionally,Never,Frequently,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Never,Frequently,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Learner's Permit,Frequently,Occasionally,Occasionally,Never,Occasionally,Occasionally,Never,Occasionally,Never,Occasionally,Frequently,Frequently,Never,Never,Never,Occasionally,Frequently,Occasionally,43551,midwest,2/6/2017,4/16/2001,15.8110882956879,14.00 to 15.99 years,1,White,1
Web Link 1,5215599854,95276301,02/07/2017 05:08:42,02/07/2017 05:40:46,72.241.146.188, , , , ,105041,02,07,2017,07,02,2004,12,Male,7,48182,No, , , , ,White, , ,Yes,fine motor delay,No,Bachelor's degree or higher,1,Always,Frequently,Frequently,Always,Always,Occasionally,Occasionally,Frequently,Occasionally,Never,Occasionally,Frequently,Occasionally,Frequently,Occasionally,Occasionally,Always,Frequently,Frequently,Never,Occasionally,Never,Always,Never,Occasionally,Occasionally,Frequently,Frequently,Always,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Frequently,Never,Occasionally,Frequently,Frequently,Occasionally,Frequently,Occasionally,Frequently,Occasionally,Never,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Frequently,Always,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Always,Frequently,Occasionally,Frequently,Frequently,Never,Never,Frequently,Always,Occasionally,Occasionally,Frequently,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Always,Never,Never,Occasionally,Occasionally,Never,Frequently,Frequently,Occasionally,Always,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,Occasionally, , , , , , , , , , , , , , , , , , , ,48182,midwest,2/7/2017,7/2/2004,12.6023271731691,12.00 to 13.99,1,White,1
Web Link 1,5230897584,95276301,02/11/2017 06:31:46,02/11/2017 06:58:09,98.15.228.201, , , , ,134004,02,11,2017,10,17,2004,12,Male,7,10973,No, , , , ,White, , ,No, ,No,Bachelor's degree or higher,2,Frequently,Frequently,Always,Always,Occasionally,Frequently,Never,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Never,Always,Never,Always,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Frequently,Never,Frequently,Never,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Frequently,Frequently,Frequently,Never,Never,Frequently,Always,Occasionally,Never,Always,Never,Never,Frequently,Never,Occasionally,Occasionally,Occasionally,Frequently,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Always,Occasionally,Occasionally,Occasionally,Never,Frequently,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Never,Frequently,Occasionally,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally, , , , , , , , , , , , , , , , , , , ,10973,northeast,2/11/2017,10/17/2004,12.3203285420945,12.00 to 13.99,1,White,1
Web Link 1,5238216665,95276301,02/12/2017 02:38:34,02/12/2017 02:49:54,108.45.132.248, , , , ,105064,02,12,2017,04,30,2001,15,Male,10,20878,No, , , , ,White, , ,No, ,No,Bachelor's degree or higher,1,Frequently,Frequently,Always,Always,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Frequently,Always,Never,Occasionally,Never,Never,Occasionally,Frequently,Occasionally,Never,Frequently,Occasionally,Occasionally,Never,Never,Never,Occasionally,Frequently,Occasionally,Occasionally,Never,Frequently,Occasionally,Never,Occasionally,Occasionally,Never,Frequently,Occasionally,Never,Never,Frequently,Always,Occasionally,Never,Never,Never,Never,Frequently,Never,Frequently,Never,Never,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Frequently,Never,Frequently,Occasionally,Occasionally,Occasionally,Frequently,Always,Occasionally,Never,Never,Never,Frequently,Frequently,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Frequently,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Frequently,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally, , , , , , , , , , , , , , , , , , , ,20878,south,2/12/2017,4/30/2001,15.7891854893908,14.00 to 15.99 years,1,White,1
Web Link 1,5244209739,95276301,02/13/2017 04:55:25,02/13/2017 05:05:04,98.222.190.49, , , , ,129013,02,13,2017,03,18,2000,16,Male,11,46142,No, , , , ,White, , ,Yes,Aspergers Syndrome,No,Bachelor's degree or higher,1,Always,Frequently,Occasionally,Frequently,Frequently,Occasionally,Occasionally,Frequently,Occasionally,Never,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Never,Never,Frequently,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Never,Always,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Frequently,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Occasionally,Occasionally,Never,Occasionally,Never,Never,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Never, , , , , , , , , , , , , , , , , , , ,46142,midwest,2/13/2017,3/18/2000,16.9089664613279,16.00 to 17.99 years,1,White,1
Web Link 1,5244240650,95276301,02/13/2017 05:11:53,02/13/2017 05:26:14,108.45.132.248, , , , ,105065,02,13,2017,01,02,1999,18,Female,12,20878,No, , , , ,White, , ,No, ,Yes,Bachelor's degree or higher,1,Always,Frequently,Frequently,Always,Frequently,Occasionally,Never,Always,Occasionally,Never,Never,Occasionally,Always,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Full License,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,20878,south,2/13/2017,1/2/1999,18.1163586584531,18.00 to 21.99 years,1,White,1
Web Link 1,5246312714,95276301,02/14/2017 02:31:03,02/14/2017 02:57:04,108.238.61.149, , , , ,137015,02,14,2017,06,05,2004,12,Female,6,44134,No, , , , ,White, , ,Yes,addh,No,Some college or associate degree,1,Always,Always,Always,Always,Frequently,Frequently,Frequently,Occasionally,Occasionally,Never,Never,Frequently,Never,Frequently,Never,Never,Never,Frequently,Frequently,Never,Never,Always,Frequently,Never,Occasionally,Occasionally,Never,Occasionally,Frequently,Never,Occasionally,Frequently,Never,Never,Never,Never,Frequently,Occasionally,Never,Never,Frequently,Occasionally,Never,Always,Frequently,Never,Never,Never,Occasionally,Never,Never,Occasionally,Always,Occasionally,Never,Never,Always,Never,Never,Never,Never,Never,Occasionally,Never,Never,Always,Occasionally,Frequently,Always,Never,Never,Never,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Always,Never,Never,Occasionally,Always,Never,Occasionally,Never,Occasionally,Always,Occasionally,Never,Occasionally,Never,Always,Never,Never, , , , , , , , , , , , , , , , , , , ,44134,midwest,2/14/2017,6/5/2004,12.6954140999316,12.00 to 13.99,1,White,1
