form,scale,n,r,p
IT-430-Home,SOC,21,0.398,0.074
,VIS,,0.745,0
,HEA,,0.715,0
,TOU,,0.765,0
,TS,,0.708,0
,BOD,,0.435,0.049
,BAL,,0.857,0
,PLA,,0.516,0.017
,TOT,,0.91,0
IT-Caregiver,SOC,22,0.302,0.172
,VIS,,0.735,0
,HEA,,0.451,0.035
,TOU,,0.654,0.001
,TS,,0.663,0.001
,BOD,,0.608,0.003
,BAL,,0.565,0.006
,PLA,,0.601,0.003
,TOT,,0.863,0
Preschool-25-School,SOC,11,0.664,0.026
,VIS,,0.394,0.23
,HEA,,0.547,0.082
,TOU,,0.555,0.076
,TS,,0.55,0.079
,BOD,,0.775,0.005
,BAL,,0.698,0.017
,PLA,,0.44,0.176
,TOT,,0.815,0.002
Child-512-Home,SOC,34,0.757,0
,VIS,,0.619,0
,HEA,,0.728,0
,TOU,,0.887,0
,TS,,0.766,0
,BOD,,0.67,0
,BAL,,0.737,0
,PLA,,0.788,0
,TOT,,0.874,0
Child-512-School,SOC,26,0.772,0
,VIS,,0.75,0
,HEA,,0.6,0.001
,TOU,,0.815,0
,TS,,0.219,0.282
,BOD,,0.624,0.001
,BAL,,0.46,0.018
,PLA,,0.781,0
,TOT,,0.793,0
Teen-1221-Home,SOC,32,0.77,0
,VIS,,0.528,0.002
,HEA,,0.635,0
,TOU,,0.739,0
,TS,,0.778,0
,BOD,,0.709,0
,BAL,,0.825,0
,PLA,,0.809,0
,TOT,,0.91,0
Teen-1221-School,SOC,22,0.536,0.01
,VIS,,0.264,0.234
,HEA,,0.419,0.052
,TOU,,0.676,0.001
,TS,,-0.067,0.766
,BOD,,0.553,0.008
,BAL,,0.656,0.001
,PLA,,0.144,0.524
,TOT,,0.599,0.003
Adult-Other,SOC,25,0.463,0.02
,VIS,,0.643,0.001
,HEA,,0.709,0
,TOU,,0.668,0
,TS,,0.464,0.019
,BOD,,0.489,0.013
,BAL,,0.618,0.001
,PLA,,0.609,0.001
,TOT,,0.782,0
