form,scale,n,r,p
Child-512-Home-Stand,SOC,13,0.709,0.007
,VIS,,0.855,0
,HEA,,0.831,0
,TOU,,0.925,0
,BOD,,0.87,0
,BAL,,0.83,0
,PLA,,0.828,0
,TOT,,0.935,0
Child-512-Home-Clin,SOC,149,0.776,0
,VIS,,0.757,0
,HEA,,0.698,0
,TOU,,0.747,0
,BOD,,0.776,0
,BAL,,0.726,0
,PLA,,0.799,0
,TOT,,0.892,0
Child-512-School-Stand,SOC,14,0.783,0.001
,VIS,,0.859,0
,HEA,,0.756,0.002
,TOU,,0.928,0
,BOD,,0.897,0
,BAL,,0.781,0.001
,PLA,,0.859,0
,TOT,,0.955,0
Child-512-School-Clin,SOC,113,0.822,0
,VIS,,0.71,0
,HEA,,0.737,0
,TOU,,0.704,0
,BOD,,0.764,0
,BAL,,0.736,0
,PLA,,0.808,0
,TOT,,0.899,0
