form_dx,scale,n_typ,mean_typ,sd_typ,scale1,n_clin,mean_clin,sd_clin,ES
Home-IDDD,SOC,51,47.8,8.28,SOC,48,55.31,8.74,0.59
,VIS,51,47.61,10.24,VIS,48,56.12,9.21,0.57
,HEA,51,48.04,8.92,HEA,48,54.77,9.41,0.49
,TOU,51,47.86,8.81,TOU,48,58.46,10.4,0.76
,TS,51,48.12,8.03,TS,48,52.42,10.51,0.32
,BOD,51,50,10.15,BOD,48,55.9,9.24,0.4
,BAL,51,49.08,9.66,BAL,48,60.06,11.5,0.71
,PLA,51,48.86,9.25,PLA,48,63.88,9.93,1.06
,TOT,51,48.37,9.26,TOT,48,58.08,8.82,0.71
School-IDDD,SOC,44,49.07,8.04,SOC,44,59.39,9.89,0.79
,VIS,44,48.68,8.01,VIS,44,61.98,9.97,1.02
,HEA,44,47.73,7.31,HEA,44,58.98,9.54,0.93
,TOU,44,49.07,7.01,TOU,44,60.68,9.78,0.98
,TS,44,50.68,8.73,TS,44,54.02,10.29,0.24
,BOD,44,50,7.61,BOD,44,59.25,9.48,0.75
,BAL,44,48.45,7.6,BAL,44,57.75,10.46,0.72
,PLA,44,49.39,8.36,PLA,44,65.32,10.12,1.19
,TOT,44,48.68,6.98,TOT,44,61.05,8.68,1.09
