form,n,SPM2_row_label,ABAS3_col_label,r,p
Adult-Self-Other-Stand,60,SOC,Cm,-0.39,0.002
,,VIS,Cm,-0.243,0.061
,,HEA,Cm,0.036,0.782
,,TOU,Cm,-0.224,0.086
,,TS,Cm,-0.24,0.065
,,BOD,Cm,-0.302,0.019
,,BAL,Cm,-0.284,0.028
,,PLA,Cm,-0.421,0.001
,,TOT,Cm,-0.239,0.066
,,SOC,Fn,-0.49,0
,,VIS,Fn,-0.314,0.015
,,HEA,Fn,0.001,0.997
,,TOU,Fn,-0.335,0.009
,,TS,Fn,-0.317,0.013
,,BOD,Fn,-0.389,0.002
,,BAL,Fn,-0.335,0.009
,,PLA,Fn,-0.465,0
,,TOT,Fn,-0.335,0.009
,,SOC,Hl,-0.528,0
,,VIS,Hl,-0.33,0.01
,,HEA,Hl,0.024,0.855
,,TOU,Hl,-0.35,0.006
,,TS,Hl,-0.302,0.019
,,BOD,Hl,-0.437,0
,,BAL,Hl,-0.275,0.033
,,PLA,Hl,-0.49,0
,,TOT,Hl,-0.336,0.009
,,SOC,Ls,-0.526,0
,,VIS,Ls,-0.324,0.011
,,HEA,Ls,-0.167,0.203
,,TOU,Ls,-0.37,0.004
,,TS,Ls,-0.318,0.013
,,BOD,Ls,-0.273,0.035
,,BAL,Ls,-0.377,0.003
,,PLA,Ls,-0.526,0
,,TOT,Ls,-0.381,0.003
,,SOC,SC,-0.434,0.001
,,VIS,SC,-0.232,0.075
,,HEA,SC,0.007,0.961
,,TOU,SC,-0.292,0.024
,,TS,SC,-0.291,0.024
,,BOD,SC,-0.344,0.007
,,BAL,SC,-0.256,0.048
,,PLA,SC,-0.351,0.006
,,TOT,SC,-0.278,0.031
,,SOC,SD,-0.533,0
,,VIS,SD,-0.349,0.006
,,HEA,SD,-0.032,0.805
,,TOU,SD,-0.3,0.02
,,TS,SD,-0.349,0.006
,,BOD,SD,-0.398,0.002
,,BAL,SD,-0.315,0.014
,,PLA,SD,-0.524,0
,,TOT,SD,-0.343,0.007
