form,n,scale,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,TOT_NT,PLA_NT,SOC_NT
Child-512-Home,875,VIS_NT,1,0.62,0.615,0.506,0.585,0.581,0.784,0.616,0.482
,,HEA_NT,0.62,1,0.636,0.55,0.555,0.571,0.794,0.568,0.37
,,TOU_NT,0.615,0.636,1,0.639,0.649,0.614,0.842,0.649,0.396
,,TS_NT,0.506,0.55,0.639,1,0.538,0.495,0.784,0.483,0.325
,,BOD_NT,0.585,0.555,0.649,0.538,1,0.679,0.816,0.631,0.455
,,BAL_NT,0.581,0.571,0.614,0.495,0.679,1,0.767,0.631,0.356
,,TOT_NT,0.784,0.794,0.842,0.784,0.816,0.767,1,0.719,0.493
,,PLA_NT,0.616,0.568,0.649,0.483,0.631,0.631,0.719,1,0.544
,,SOC_NT,0.482,0.37,0.396,0.325,0.455,0.356,0.493,0.544,1
Child-512-School,555,VIS_NT,1,0.734,0.663,0.525,0.664,0.646,0.866,0.709,0.55
,,HEA_NT,0.734,1,0.711,0.489,0.693,0.656,0.872,0.729,0.588
,,TOU_NT,0.663,0.711,1,0.595,0.731,0.672,0.854,0.649,0.487
,,TS_NT,0.525,0.489,0.595,1,0.507,0.552,0.686,0.463,0.335
,,BOD_NT,0.664,0.693,0.731,0.507,1,0.715,0.862,0.686,0.486
,,BAL_NT,0.646,0.656,0.672,0.552,0.715,1,0.834,0.605,0.369
,,TOT_NT,0.866,0.872,0.854,0.686,0.862,0.834,1,0.776,0.577
,,PLA_NT,0.709,0.729,0.649,0.463,0.686,0.605,0.776,1,0.597
,,SOC_NT,0.55,0.588,0.487,0.335,0.486,0.369,0.577,0.597,1
