form,scale,n,r,p
IT-49-Home,SOC,13,0.864,0
,VIS,,0.531,0.062
,HEA,,0.843,0
,TOU,,0.475,0.101
,TS,,0.709,0.007
,BOD,,0.771,0.002
,BAL,,0.781,0.002
,PLA,,0.739,0.006
,TOT,,0.827,0
IT-1030-Home,SOC,11,0.818,0.002
,VIS,,0.531,0.093
,HEA,,0.873,0
,TOU,,0.869,0.001
,TS,,0.824,0.002
,BOD,,0.81,0.003
,BAL,,0.644,0.032
,PLA,,0.776,0.005
,TOT,,0.906,0
IT-Caregiver,SOC,23,0.662,0.001
,VIS,,0.722,0
,HEA,,0.726,0
,TOU,,0.738,0
,TS,,0.813,0
,BOD,,0.738,0
,BAL,,0.56,0.005
,PLA,,0.787,0
,TOT,,0.839,0
Preschool-25-Home,SOC,13,0.774,0.002
,VIS,,0.888,0
,HEA,,0.767,0.002
,TOU,,0.966,0
,TS,,0.801,0.001
,BOD,,0.599,0.03
,BAL,,0.83,0
,PLA,,0.799,0.001
,TOT,,0.854,0
Child-512-Home,SOC,18,0.821,0
,VIS,,0.922,0
,HEA,,0.905,0
,TOU,,0.907,0
,TS,,0.921,0
,BOD,,0.928,0
,BAL,,0.942,0
,PLA,,0.883,0
,TOT,,0.969,0
Teen-1221-Home,SOC,78,0.907,0
,VIS,,0.905,0
,HEA,,0.883,0
,TOU,,0.886,0
,TS,,0.951,0
,BOD,,0.908,0
,BAL,,0.9,0
,PLA,,0.871,0
,TOT,,0.949,0
Adult-Other,SOC,17,0.711,0.001
,VIS,,0.658,0.004
,HEA,,0.676,0.003
,TOU,,0.889,0
,TS,,0.676,0.003
,BOD,,0.93,0
,BAL,,0.797,0
,PLA,,0.808,0
,TOT,,0.931,0
