form,n,SPM2_row_label,ABAS3_col_label,r,p
Child-512-Home-School-Stand,34,SOC,Cm,-0.524,0.001
,,VIS,Cm,-0.408,0.017
,,HEA,Cm,-0.36,0.037
,,TOU,Cm,-0.32,0.065
,,TS,Cm,-0.249,0.155
,,BOD,Cm,-0.111,0.533
,,BAL,Cm,-0.278,0.111
,,PLA,Cm,-0.495,0.003
,,TOT,Cm,-0.324,0.061
,,SOC,Fn,-0.345,0.046
,,VIS,Fn,-0.083,0.642
,,HEA,Fn,-0.212,0.229
,,TOU,Fn,-0.118,0.506
,,TS,Fn,0.078,0.66
,,BOD,Fn,0.057,0.75
,,BAL,Fn,0.096,0.59
,,PLA,Fn,-0.334,0.054
,,TOT,Fn,-0.031,0.861
,,SOC,HS,-0.525,0.001
,,VIS,HS,-0.258,0.141
,,HEA,HS,-0.394,0.021
,,TOU,HS,-0.387,0.024
,,TS,HS,-0.28,0.109
,,BOD,HS,-0.151,0.395
,,BAL,HS,-0.091,0.609
,,PLA,HS,-0.463,0.006
,,TOT,HS,-0.276,0.114
,,SOC,Hl,-0.264,0.132
,,VIS,Hl,0.078,0.661
,,HEA,Hl,-0.222,0.207
,,TOU,Hl,-0.188,0.288
,,TS,Hl,-0.059,0.739
,,BOD,Hl,0.054,0.76
,,BAL,Hl,0.088,0.621
,,PLA,Hl,-0.142,0.425
,,TOT,Hl,-0.018,0.918
,,SOC,Ls,-0.422,0.013
,,VIS,Ls,-0.322,0.064
,,HEA,Ls,-0.503,0.002
,,TOU,Ls,-0.396,0.02
,,TS,Ls,-0.205,0.246
,,BOD,Ls,-0.259,0.139
,,BAL,Ls,-0.316,0.068
,,PLA,Ls,-0.475,0.005
,,TOT,Ls,-0.374,0.029
,,SOC,SC,-0.273,0.118
,,VIS,SC,-0.048,0.787
,,HEA,SC,-0.24,0.172
,,TOU,SC,-0.36,0.037
,,TS,SC,-0.347,0.044
,,BOD,SC,-0.091,0.609
,,BAL,SC,0.085,0.632
,,PLA,SC,-0.133,0.455
,,TOT,SC,-0.176,0.319
,,SOC,SD,-0.474,0.005
,,VIS,SD,-0.3,0.084
,,HEA,SD,-0.417,0.014
,,TOU,SD,-0.368,0.032
,,TS,SD,-0.217,0.219
,,BOD,SD,-0.194,0.271
,,BAL,SD,-0.166,0.347
,,PLA,SD,-0.523,0.002
,,TOT,SD,-0.299,0.085
,,SOC,Scl,-0.598,0
,,VIS,Scl,-0.297,0.088
,,HEA,Scl,-0.536,0.001
,,TOU,Scl,-0.475,0.005
,,TS,Scl,-0.312,0.073
,,BOD,Scl,-0.299,0.086
,,BAL,Scl,-0.207,0.239
,,PLA,Scl,-0.461,0.006
,,TOT,Scl,-0.391,0.022
,,SOC,Wr,,
,,VIS,Wr,,
,,HEA,Wr,,
,,TOU,Wr,,
,,TS,Wr,,
,,BOD,Wr,,
,,BAL,Wr,,
,,PLA,Wr,,
,,TOT,Wr,,
,,SOC,GAC,-0.506,0.002
,,VIS,GAC,-0.272,0.12
,,HEA,GAC,-0.458,0.007
,,TOU,GAC,-0.394,0.021
,,TS,GAC,-0.254,0.148
,,BOD,GAC,-0.152,0.39
,,BAL,GAC,-0.143,0.418
,,PLA,GAC,-0.5,0.003
