form_dx,scale,n_typ,mean_typ,sd_typ,n_clin,mean_clin,sd_clin,ES
Home-SPD,SOC,40,47.67,9.81,39,57.23,9.15,0.66
,VIS,40,47.85,8.17,39,60.41,9.91,0.96
,HEA,40,50.12,8.17,39,60.36,10.32,0.77
,TOU,40,48.4,8.52,39,60.87,10.04,0.92
,TS,40,50.33,8.65,39,58.31,10.68,0.57
,BOD,40,49.8,7.92,39,61,8.05,0.94
,BAL,40,49.1,7.4,39,63.74,8.72,1.25
,PLA,40,48.27,5.73,39,62.05,9.98,1.28
,TOT,40,49.4,7.16,39,63.05,8.39,1.2
School-SPD,SOC,34,49.44,10.53,34,56.44,8.06,0.48
,VIS,34,50.38,11.25,34,57.59,10.58,0.44
,HEA,34,50.74,11.22,34,61.47,10.03,0.66
,TOU,34,51.65,9.85,34,61.12,10.23,0.63
,TS,34,50.88,9.28,34,55.5,11.95,0.3
,BOD,34,52.53,10.31,34,56.71,10.18,0.27
,BAL,34,50.68,10.83,34,61.44,10.94,0.66
,PLA,34,50.53,11.8,34,59.97,10.45,0.55
,TOT,34,50.88,11.03,34,60.94,9.55,0.64
