form,scale,n,mean,sd
Home Form,SOC_raw,1014,17.44,4.87
,VIS_raw,1014,13.23,4.05
,HEA_raw,1014,13.16,4.17
,TOU_raw,1014,12.86,3.97
,TS_raw,1014,14.64,4.53
,BOD_raw,1014,12.96,4.12
,BAL_raw,1014,12.08,3.82
,PLA_raw,1014,14.43,5.25
,TOT_raw,1014,78.93,21.14
School Form,SOC_raw,645,17.45,5.64
,VIS_raw,645,11.63,3.58
,HEA_raw,645,11.97,3.86
,TOU_raw,645,11.15,3.07
,TS_raw,645,11.54,3.51
,BOD_raw,645,11.38,3.39
,BAL_raw,645,11.38,3.46
,PLA_raw,645,13.99,4.98
,TOT_raw,645,69.05,19.33
Self-Report Form,SOC_raw,957,17.53,4.26
,VIS_raw,957,16.6,5.06
,HEA_raw,957,16.85,5.19
,TOU_raw,957,15.41,4.18
,TS_raw,957,17.21,5.07
,BOD_raw,957,15.1,4.62
,BAL_raw,957,14.05,4.25
,PLA_raw,957,16.24,4.97
,TOT_raw,957,95.22,24.03
