form,n,scale,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT,TOT_NT
Adult-Self,711,SOC_NT,1,0.488,0.43,0.47,0.35,0.429,0.421,0.416,0.537
,,VIS_NT,0.488,1,0.707,0.624,0.495,0.59,0.638,0.638,0.837
,,HEA_NT,0.43,0.707,1,0.61,0.485,0.477,0.601,0.512,0.82
,,TOU_NT,0.47,0.624,0.61,1,0.633,0.544,0.592,0.544,0.828
,,TS_NT,0.35,0.495,0.485,0.633,1,0.51,0.544,0.383,0.761
,,BOD_NT,0.429,0.59,0.477,0.544,0.51,1,0.582,0.541,0.738
,,BAL_NT,0.421,0.638,0.601,0.592,0.544,0.582,1,0.606,0.821
,,PLA_NT,0.416,0.638,0.512,0.544,0.383,0.541,0.606,1,0.66
,,TOT_NT,0.537,0.837,0.82,0.828,0.761,0.738,0.821,0.66,1
Adult-Other,604,SOC_NT,1,0.385,0.38,0.455,0.347,0.364,0.312,0.403,0.467
,,VIS_NT,0.385,1,0.709,0.7,0.608,0.572,0.594,0.688,0.841
,,HEA_NT,0.38,0.709,1,0.72,0.628,0.537,0.567,0.582,0.855
,,TOU_NT,0.455,0.7,0.72,1,0.654,0.614,0.632,0.641,0.87
,,TS_NT,0.347,0.608,0.628,0.654,1,0.458,0.549,0.558,0.808
,,BOD_NT,0.364,0.572,0.537,0.614,0.458,1,0.551,0.596,0.721
,,BAL_NT,0.312,0.594,0.567,0.632,0.549,0.551,1,0.607,0.755
,,PLA_NT,0.403,0.688,0.582,0.641,0.558,0.596,0.607,1,0.738
,,TOT_NT,0.467,0.841,0.855,0.87,0.808,0.721,0.755,0.738,1
