form,n,SPM2_row_label,SP2_col_label,r,p
,,SOC,Tc,0.485,0.079
,,VIS,Tc,0.555,0.039
,,HEA,Tc,0.73,0.003
,,TOU,Tc,0.896,0
,,TS,Tc,0.487,0.077
,,BOD,Tc,0.726,0.003
,,BAL,Tc,0.908,0
,,PLA,Tc,0.734,0.003
,,TOT,Tc,0.841,0
,,SOC,Mv,0.765,0.001
,,VIS,Mv,0.649,0.012
,,HEA,Mv,0.762,0.002
,,TOU,Mv,0.864,0
,,TS,Mv,0.584,0.028
,,BOD,Mv,0.859,0
,,BAL,Mv,0.851,0
,,PLA,Mv,0.768,0.001
,,TOT,Mv,0.895,0
,,SOC,Bh,0.715,0.004
,,VIS,Bh,0.486,0.078
,,HEA,Bh,0.736,0.003
,,TOU,Bh,0.878,0
,,TS,Bh,0.426,0.129
,,BOD,Bh,0.816,0
,,BAL,Bh,0.882,0
,,PLA,Bh,0.727,0.003
,,TOT,Bh,0.823,0
,,SOC,SkS,0.635,0.015
,,VIS,SkS,0.623,0.017
,,HEA,SkS,0.692,0.006
,,TOU,SkS,0.858,0
,,TS,SkS,0.504,0.066
,,BOD,SkS,0.754,0.002
,,BAL,SkS,0.888,0
,,PLA,SkS,0.764,0.001
,,TOT,SkS,0.848,0
,,SOC,AA,0.623,0.017
,,VIS,AA,0.586,0.028
,,HEA,AA,0.74,0.002
,,TOU,AA,0.825,0
,,TS,AA,0.335,0.242
,,BOD,AA,0.681,0.007
,,BAL,AA,0.939,0
,,PLA,AA,0.778,0.001
,,TOT,AA,0.799,0.001
,,SOC,SnS,0.654,0.011
,,VIS,SnS,0.574,0.032
,,HEA,SnS,0.733,0.003
,,TOU,SnS,0.9,0
,,TS,SnS,0.484,0.079
,,BOD,SnS,0.795,0.001
,,BAL,SnS,0.906,0
,,PLA,SnS,0.777,0.001
,,TOT,SnS,0.859,0
,,SOC,RB,0.81,0
,,VIS,RB,0.54,0.046
,,HEA,RB,0.705,0.005
,,TOU,RB,0.829,0
,,TS,RB,0.49,0.075
,,BOD,RB,0.853,0
,,BAL,RB,0.783,0.001
,,PLA,RB,0.724,0.003
,,TOT,RB,0.821,0
,,SOC,SF1,0.797,0.001
,,VIS,SF1,0.602,0.023
,,HEA,SF1,0.693,0.006
,,TOU,SF1,0.845,0
,,TS,SF1,0.515,0.06
,,BOD,SF1,0.852,0
,,BAL,SF1,0.79,0.001
,,PLA,SF1,0.738,0.003
,,TOT,SF1,0.842,0
,,SOC,SF2,0.625,0.017
,,VIS,SF2,0.527,0.053
,,HEA,SF2,0.686,0.007
,,TOU,SF2,0.854,0
,,TS,SF2,0.451,0.105
,,BOD,SF2,0.757,0.002
,,BAL,SF2,0.903,0
,,PLA,SF2,0.754,0.002
,,TOT,SF2,0.818,0
,,SOC,SF3,0.666,0.009
,,VIS,SF3,0.464,0.094
,,HEA,SF3,0.738,0.003
,,TOU,SF3,0.869,0
,,TS,SF3,0.366,0.198
,,BOD,SF3,0.769,0.001
,,BAL,SF3,0.907,0
,,PLA,SF3,0.766,0.001
,,TOT,SF3,0.799,0.001
,,SOC,SF4,0.605,0.022
,,VIS,SF4,0.709,0.005
,,HEA,SF4,0.739,0.003
,,TOU,SF4,0.802,0.001
,,TS,SF4,0.441,0.115
,,BOD,SF4,0.66,0.01
,,BAL,SF4,0.894,0
,,PLA,SF4,0.759,0.002
,,TOT,SF4,0.83,0
Child-512-School-Clin,149,SOC,Ad,0.594,0
,,VIS,Ad,0.466,0
,,HEA,Ad,0.55,0
,,TOU,Ad,0.486,0
,,TS,Ad,0.27,0.001
,,BOD,Ad,0.478,0
,,BAL,Ad,0.394,0
,,PLA,Ad,0.549,0
,,TOT,Ad,0.556,0
,,SOC,Vs,0.526,0
,,VIS,Vs,0.534,0
,,HEA,Vs,0.444,0
,,TOU,Vs,0.504,0
,,TS,Vs,0.306,0
,,BOD,Vs,0.469,0
,,BAL,Vs,0.388,0
,,PLA,Vs,0.587,0
,,TOT,Vs,0.558,0
,,SOC,Tc,0.568,0
,,VIS,Tc,0.43,0
,,HEA,Tc,0.551,0
,,TOU,Tc,0.608,0
,,TS,Tc,0.394,0
,,BOD,Tc,0.592,0
,,BAL,Tc,0.496,0
,,PLA,Tc,0.488,0
,,TOT,Tc,0.639,0
,,SOC,Mv,0.536,0
,,VIS,Mv,0.537,0
,,HEA,Mv,0.449,0
,,TOU,Mv,0.545,0
,,TS,Mv,0.322,0
,,BOD,Mv,0.639,0
,,BAL,Mv,0.542,0
,,PLA,Mv,0.539,0
,,TOT,Mv,0.638,0
,,SOC,Bh,0.732,0
,,VIS,Bh,0.45,0
,,HEA,Bh,0.481,0
,,TOU,Bh,0.55,0
,,TS,Bh,0.388,0
,,BOD,Bh,0.583,0
,,BAL,Bh,0.467,0
,,PLA,Bh,0.588,0
,,TOT,Bh,0.61,0
,,SOC,SkS,0.533,0
,,VIS,SkS,0.456,0
,,HEA,SkS,0.519,0
,,TOU,SkS,0.576,0
,,TS,SkS,0.369,0
,,BOD,SkS,0.593,0
,,BAL,SkS,0.43,0
,,PLA,SkS,0.426,0
,,TOT,SkS,0.617,0
,,SOC,AA,0.692,0
,,VIS,AA,0.398,0
,,HEA,AA,0.48,0
,,TOU,AA,0.512,0
,,TS,AA,0.388,0
,,BOD,AA,0.551,0
,,BAL,AA,0.49,0
,,PLA,AA,0.597,0
,,TOT,AA,0.586,0
,,SOC,SnS,0.584,0
,,VIS,SnS,0.416,0
,,HEA,SnS,0.496,0
,,TOU,SnS,0.572,0
,,TS,SnS,0.395,0
,,BOD,SnS,0.531,0
,,BAL,SnS,0.455,0
,,PLA,SnS,0.476,0
,,TOT,SnS,0.595,0
,,SOC,RB,0.627,0
,,VIS,RB,0.623,0
,,HEA,RB,0.492,0
,,TOU,RB,0.537,0
,,TS,RB,0.285,0
,,BOD,RB,0.581,0
,,BAL,RB,0.483,0
,,PLA,RB,0.688,0
,,TOT,RB,0.635,0
,,SOC,SF1,0.612,0
,,VIS,SF1,0.574,0
,,HEA,SF1,0.506,0
,,TOU,SF1,0.573,0
,,TS,SF1,0.309,0
,,BOD,SF1,0.624,0
,,BAL,SF1,0.482,0
,,PLA,SF1,0.575,0
,,TOT,SF1,0.647,0
,,SOC,SF2,0.519,0
,,VIS,SF2,0.446,0
,,HEA,SF2,0.468,0
,,TOU,SF2,0.554,0
,,TS,SF2,0.38,0
,,BOD,SF2,0.523,0
,,BAL,SF2,0.437,0
,,PLA,SF2,0.443,0
,,TOT,SF2,0.586,0
,,SOC,SF3,0.676,0
,,VIS,SF3,0.448,0
,,HEA,SF3,0.546,0
,,TOU,SF3,0.588,0
,,TS,SF3,0.397,0
,,BOD,SF3,0.58,0
,,BAL,SF3,0.494,0
,,PLA,SF3,0.59,0
,,TOT,SF3,0.636,0
,,SOC,SF4,0.658,0
,,VIS,SF4,0.46,0
,,HEA,SF4,0.459,0
,,TOU,SF4,0.453,0
,,TS,SF4,0.331,0
,,BOD,SF4,0.515,0
,,BAL,SF4,0.472,0
,,PLA,SF4,0.665,0
,,TOT,SF4,0.563,0
