form,scale,n_Stand,mean_Stand,sd_Stand,form1,n_Clin,mean_Clin,sd_Clin,ES
Home Form Stand,SOC_raw,520,19.52,5.49,Home Form Clin,107,22.48,6.46,0.34
,VIS_raw,520,15.93,4.72,,107,18,5.66,0.27
,HEA_raw,520,15.52,5.08,,107,18.47,6.09,0.36
,TOU_raw,520,14.48,4.27,,107,17.08,5.31,0.38
,TS_raw,520,14.07,3.99,,107,15.08,4.9,0.16
,BOD_raw,520,15.85,4.96,,107,18.83,7.15,0.35
,BAL_raw,520,13,3.44,,107,15.82,5.34,0.46
,PLA_raw,520,15.19,4.63,,107,20.54,7.1,0.65
,TOT_raw,520,88.84,21.91,,107,103.29,26.11,0.41
School Form Stand,SOC_raw,539,18.58,5.94,School Form Clin,99,22.19,7.06,0.38
,VIS_raw,539,13.69,3.86,,99,16.7,5.6,0.45
,HEA_raw,539,13.74,4.09,,99,17.09,5.1,0.5
,TOU_raw,539,12.86,3.6,,99,14.74,4.21,0.33
,TS_raw,539,11.86,3.13,,99,12.89,3.75,0.2
,BOD_raw,539,12.94,4.03,,99,15.8,6.25,0.4
,BAL_raw,539,12.22,3.24,,99,14.45,4.83,0.4
,PLA_raw,539,14.61,4.7,,99,20.41,8.37,0.65
,TOT_raw,539,77.31,19.02,,99,91.67,23.65,0.47
