form_dx,group,Variable,Category,n
Home-ADHD,ADHD,age_range,2 to 4 years,4
,,"",5 years,3
,,"",5 to 8 years,9
,,"",9 to 12 years,20
,,"",12 to 13 years,7
,,"",14 to 15 years,5
,,"",16 to 17 years,7
,,"",18 to 21 years,1
,,Gender,Male,38
,,"",Female,18
,,ParentHighestEducation,Did not complete high school (no diploma),1
,,"",High school graduate (including GED),11
,,"",Some college or associate degree,18
,,"",Bachelor's degree or higher,26
,,Ethnicity,Hispanic,6
,,"",Black,5
,,"",White,44
,,"",Other,1
,Matched typical,age_range,2 to 4 years,4
,,"",5 years,4
,,"",5 to 8 years,9
,,"",9 to 12 years,19
,,"",12 to 13 years,7
,,"",14 to 15 years,5
,,"",16 to 17 years,7
,,"",18 to 21 years,1
,,Gender,Male,38
,,"",Female,18
,,ParentHighestEducation,Did not complete high school (no diploma),1
,,"",High school graduate (including GED),11
,,"",Some college or associate degree,18
,,"",Bachelor's degree or higher,26
,,Ethnicity,Hispanic,6
,,"",Black,5
,,"",White,45
School-ADHD,ADHD,age_range,2 to 4 years,3
,,"",5 years,2
,,"",5 to 8 years,7
,,"",9 to 12 years,16
,,"",12 to 13 years,6
,,"",14 to 15 years,6
,,"",16 to 17 years,4
,,Gender,Male,33
,,"",Female,11
,,Ethnicity,Hispanic,6
,,"",Black,2
,,"",White,34
,,"",AmericanIndAlaskanNat,2
,Matched typical,age_range,2 to 4 years,3
,,"",5 years,2
,,"",5 to 8 years,7
,,"",9 to 12 years,16
,,"",12 to 13 years,5
,,"",14 to 15 years,6
,,"",16 to 17 years,5
,,Gender,Male,33
,,"",Female,11
,,Ethnicity,Hispanic,6
,,"",Black,2
,,"",White,34
,,"",AmericanIndAlaskanNat,2
