form,scale,n,correct_r,mean_t1,sd_t1,mean_t2,sd_t2,ES,CV_90,CV_95
Adult Self,SOC,52,0.9,48.94,7.43,49.02,8.21,0.01,3.91,4.66
,VIS,52,0.86,50.65,9.39,51.02,9.94,0.03,5.68,6.76
,HEA,52,0.89,51.35,9.62,51.58,10.21,0.02,5.23,6.24
,TOU,52,0.8,47.87,9,48.06,8.81,0.01,6.62,7.89
,TS,52,0.83,49.06,9.9,49.44,8.95,0.03,6.8,8.11
,BOD,52,0.83,50.37,9.27,49.4,9.22,0.07,6.35,7.57
,BAL,52,0.83,50.77,8.41,50.37,9.71,0.03,5.62,6.7
,PLA,52,0.78,51.08,8.75,51.15,9.25,0.01,6.78,8.07
,TOT,52,0.93,49.96,9.22,49.96,9.72,0,3.91,4.66
Adult Other,SOC,58,0.77,52.17,9.87,50.97,8.41,0.09,7.85,9.36
,VIS,58,0.79,52.52,9.14,53.26,8.41,0.06,6.86,8.17
,HEA,58,0.79,53.09,8.98,53.52,7.74,0.03,6.71,8
,TOU,58,0.76,52,8.44,51.57,7.83,0.03,6.78,8.08
,TS,58,0.84,51.19,9.05,51.33,8.15,0.01,5.89,7.02
,BOD,58,0.84,51.69,8.07,51.88,7.6,0.02,5.29,6.3
,BAL,58,0.8,51.26,7.62,52.48,7.22,0.11,5.62,6.69
,PLA,58,0.79,52.52,8.15,52.09,8.46,0.03,6.17,7.36
,TOT,58,0.9,52.14,8.92,52.55,8.38,0.03,4.6,5.49
