form,dx,n,pct_samp
IT 430,ASD,2,3.7
,FASD,2,3.7
,HEA,4,7.4
,ID,9,16.7
,LBW,11,20.4
,MO,6,11.1
,OTH,1,1.9
,SLP,15,27.8
,SPD,3,5.6
,VIS,1,1.9
IT Caregiver,ASD,2,3.7
,FASD,2,3.7
,HEA,4,7.4
,ID,9,16.7
,LBW,11,20.4
,MO,6,11.1
,OTH,1,1.9
,SLP,15,27.8
,SPD,3,5.6
,VIS,1,1.9
Preschool 25 Home,ADHD,7,6.5
,ASD,12,11.2
,DD,15,14
,FASD,1,0.9
,HEA,13,12.1
,ID,5,4.7
,MH,3,2.8
,MO,4,3.7
,OTH,5,4.7
,SLP,27,25.2
,SPD,12,11.2
,VIS,3,2.8
Preschool 25 School,ADHD,5,5.1
,ASD,9,9.1
,DD,16,16.2
,FASD,1,1
,HEA,13,13.1
,ID,3,3
,MH,2,2
,MO,5,5.1
,OTH,2,2
,SLP,28,28.3
,SPD,12,12.1
,VIS,3,3
Child 512 Home,ADHD,29,13.3
,ASD,49,22.5
,DD,2,0.9
,FASD,1,0.5
,HEA,15,6.9
,ID,13,6
,LD,15,6.9
,MH,23,10.6
,MO,18,8.3
,OTH,5,2.3
,SLP,21,9.6
,SPD,24,11
,TBI,1,0.5
,VIS,2,0.9
Child 512 School,ADHD,23,12
,ASD,36,18.8
,DD,6,3.1
,FASD,1,0.5
,HEA,17,8.9
,ID,14,7.3
,LD,10,5.2
,MH,25,13
,MO,12,6.2
,OTH,4,2.1
,SLP,20,10.4
,SPD,21,10.9
,TBI,1,0.5
,VIS,2,1
Teen 1221 Home,ADHD,20,19
,ASD,28,26.7
,FASD,3,2.9
,HEA,5,4.8
,ID,4,3.8
,LD,6,5.7
,MH,14,13.3
,MO,5,4.8
,OTH,6,5.7
,SLP,10,9.5
,TBI,3,2.9
,VIS,1,1
Teen 1221 School,ADHD,16,15.7
,ASD,23,22.5
,FASD,1,1
,HEA,3,2.9
,ID,5,4.9
,LD,12,11.8
,MH,20,19.6
,MO,4,3.9
,OTH,2,2
,SLP,11,10.8
,SPD,1,1
,TBI,3,2.9
,VIS,1,1
Teen 1221 Self,ADHD,16,15.2
,ASD,27,25.7
,FASD,2,1.9
,HEA,4,3.8
,ID,2,1.9
,LD,10,9.5
,MH,20,19
,MO,2,1.9
,OTH,6,5.7
,SLP,11,10.5
,SPD,1,1
,TBI,3,2.9
,VIS,1,1
Adult Self,ADHD,22,18.3
,ASD,8,6.7
,DD,1,0.8
,FASD,7,5.8
,HEA,10,8.3
,ID,6,5
,LD,12,10
,MH,19,15.8
,MO,3,2.5
,OTH,17,14.2
,SLP,3,2.5
,SPD,3,2.5
,TBI,5,4.2
,VIS,4,3.3
Adult Other,ADHD,24,20.7
,ASD,7,6
,FASD,7,6
,HEA,9,7.8
,ID,6,5.2
,LD,12,10.3
,MH,14,12.1
,MO,3,2.6
,OTH,21,18.1
,SLP,2,1.7
,SPD,3,2.6
,TBI,4,3.4
,VIS,4,3.4
