form,scale,n_Stand,mean_Stand,sd_Stand,form1,n_Clin,mean_Clin,sd_Clin,ES
Infant Form Stand,SOC_raw,266,15.24,4.52,Infant Form Clin,11,14.45,2.94,0.13
,VIS_raw,266,20.26,4.49,,11,18.55,4.01,0.26
,HEA_raw,266,14.41,2.98,,11,14.82,3.43,0.09
,TOU_raw,266,14.58,2.93,,11,15,2.9,0.1
,TS_raw,266,11.89,2.56,,11,11.73,1.95,0.05
,BOD_raw,266,14.7,3.24,,11,14.91,1.97,0.05
,BAL_raw,266,14.21,3.23,,11,15,3.52,0.16
,PLA_raw,266,16.61,5.95,,11,18.73,7.32,0.22
,TOT_raw,266,90.04,13.51,,11,90,11.86,0
Toddler Form Stand,SOC_raw,421,16.33,4.54,Toddler Form Clin,43,19.23,5.68,0.39
,VIS_raw,421,15.85,3.66,,43,16.26,4.44,0.07
,HEA_raw,421,15.38,3.6,,43,16.16,4.21,0.14
,TOU_raw,421,14.6,3.21,,43,14.91,3.58,0.06
,TS_raw,421,13.17,3.09,,43,13.77,4.23,0.12
,BOD_raw,421,15.37,3.58,,43,15.93,4.14,0.1
,BAL_raw,421,13.99,3.32,,43,16.81,4.81,0.49
,PLA_raw,421,13.39,4.28,,43,19.09,7.18,0.73
,TOT_raw,421,88.35,15.68,,43,93.84,19.66,0.22
Caregiver Form Stand,SOC_raw,870,16.98,3.76,Caregiver Form Clin,54,16.93,3.8,0.01
,VIS_raw,870,15.66,4.01,,54,14.7,3.37,0.17
,HEA_raw,870,15.81,3.92,,54,14.78,3.89,0.18
,TOU_raw,870,14.09,3.23,,54,12.78,2.5,0.29
,TS_raw,870,15.62,3.88,,54,15.02,3.79,0.1
,BOD_raw,870,12.57,3.06,,54,11.85,2.33,0.17
,BAL_raw,870,14.7,3.47,,54,13.48,3.01,0.25
,PLA_raw,870,15.01,4.07,,54,15.39,3.83,0.06
,TOT_raw,870,88.45,17.18,,54,82.61,14.05,0.24
