CollectorNm,RespondentID,CollectorID,StartDate,EndDate,IPAddress,EmailAddress,FirstName,LastName,CustomData1,IDNumber,Month,Day,Year,DOBMonth,DOBDay,DOBYear,Age,Gender,Grade,ZipCode,Hispanic,AmericanIndAlaskanNat,Asian,Black,NativeHawPacIsl,White,Other,OtherSpecified,q0010,q0010_other,driving,q0012,q0012_other,q0013,q0013_other,q0014,ParentHighestEducation,q0016,q0017,q0018,q0019,q0020,q0021,q0022,q0023,q0024,q0025,q0026,q0027,q0028,q0029,q0030,q0031,q0032,q0033,q0034,q0035,q0036,q0037,q0038,q0039,q0040,q0041,q0042,q0043,q0044,q0045,q0046,q0047,q0048,q0049,q0050,q0051,q0052,q0053,q0054,q0055,q0056,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0065,q0066,q0067,q0068,q0069,q0070,q0071,q0072,q0073,q0074,q0075,q0076,q0077,q0078,q0079,q0080,q0081,q0082,q0083,q0084,q0085,q0086,q0087,q0088,q0089,q0090,q0091,q0092,q0093,q0094,q0095,q0096,q0097,q0098,q0099,q0100,q0101,q0102,q0103,q0104,q0105,q0106,q0107,q0108,q0109,q0110,q0111,q0112,q0113,q0114,q0115,q0116,q0117,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0126,q0127,q0128,q0129,q0130,q0131,q0132,q0133,q0134,q0135,q0136,q0137,q0138,Zip,Region,P_RateDt,P_DOB,P_Age,AgeGroup,Count,Ethnicity,count_total
Web Link 1,6695867451,160864355,02/14/2018 12:49:00 PM,02/14/2018 01:06:03 PM,24.173.207.98, , , , ,141269,02,14,2018,03,21,2003,14,Female,8,76708,No, , , , ,White, , ,No, ,no,Stepmother, ,Wife, ,2,Some college or associate degree,Frequently,Always,Never,Always,Never,Never,Never,Never,Frequently,Never,Frequently,Frequently,Occasionally,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Never,Occasionally,Frequently,Never,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Frequently,Occasionally,Occasionally,Always,Never,Never,Never,Frequently,Never,Never,Never,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Never,Occasionally,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Always,Never,Frequently,Never,Never,Occasionally,Frequently,Frequently,Frequently,Never,Occasionally,Always,Always,Always,Always,Always,Always,Occasionally, , , , , , , , , , , , , , , , , , , ,76708,south,2/14/2018,3/21/2003,14.9048596851472,14.00 to 15.99 years,1,White,1
Web Link 1,6700712490,160864355,02/16/2018 12:44:22 PM,02/16/2018 12:50:41 PM,76.224.100.1, , , , ,141279,02,16,2018,05,24,2004,13,Male,8,76708,No, , , , ,White, , ,No, ,no,Stepmother, ,Wife, ,2,Some college or associate degree,Frequently,Frequently,Occasionally,Occasionally,Frequently,Never,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Frequently,Occasionally,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Occasionally,Frequently,Never,Never,Occasionally,Never,Never,Occasionally,Occasionally,Always,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Frequently,Occasionally,Never,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Never,Never,Always,Frequently,Frequently,Always,Frequently,Frequently,Occasionally,Frequently,Occasionally,Frequently,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Never,Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Always,Never,Occasionally, , , , , , , , , , , , , , , , , , , ,76708,south,2/16/2018,5/24/2004,13.7330595482546,11.75 to 13.99,1,White,1
Web Link 1,6700722974,160864355,02/16/2018 12:48:06 PM,02/16/2018 12:55:44 PM,24.227.200.250, , , , ,141281,02,16,2018,05,30,1999,18,Male,12,76643,No, , , , ,White, , ,No, ,yes,Father, ,Husband, ,2,Some college or associate degree,Frequently,Frequently,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Occasionally,Never,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Frequently,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Frequently,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Frequently,Never,Never,Full License,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,76643,south,2/16/2018,5/30/1999,18.7186858316222,18.00 to 22.25 years,1,White,1
Web Link 1,6700736725,160864355,02/16/2018 12:55:59 PM,02/16/2018 01:01:29 PM,24.227.200.250, , , , ,141280,02,16,2018,04,30,2001,16,Female,11,76643,No, , , , ,White, , ,No, ,yes,Father, ,Husband, ,2,Some college or associate degree,Frequently,Always,Occasionally,Never,Occasionally,Frequently,Frequently,Frequently,Never,Never,Occasionally,Occasionally,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Full License,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,76643,south,2/16/2018,4/30/2001,16.7994524298426,16.00 to 17.99 years,1,White,1
Web Link 1,6702295194,160864355,02/17/2018 08:03:08 PM,02/17/2018 08:19:06 PM,174.207.18.104, , , , ,141292,02,17,2018,01,13,2001,17,Female,11,76638,No, , , , ,White, , ,No, ,no,Grandparent, ,Grandparent, ,0,Bachelor's degree or higher,Always,Always,Frequently,Never,Never,Always,Occasionally,Occasionally,Never,Never,Never,Occasionally,Always,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Never,Occasionally,Never,Occasionally,Never,Always,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never, , , , , , , , , , , , , , , , , , , ,76638,south,2/17/2018,1/13/2001,17.0951403148528,16.00 to 17.99 years,1,White,1
Web Link 1,6703076142,160864355,02/18/2018 02:26:55 PM,02/18/2018 02:36:48 PM,72.48.12.221, , , , ,141265,02,18,2018,01,13,2003,15,Male,8,76708,No, , , , ,White, , ,No, ,no,Father, ,Husband, ,2,Bachelor's degree or higher,Frequently,Always,Frequently,Never,Never,Frequently,Frequently,Frequently,Never,Never,Never,Occasionally,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never, , , , , , , , , , , , , , , , , , , ,76708,south,2/18/2018,1/13/2003,15.0992470910335,14.00 to 15.99 years,1,White,1
Web Link 1,6705032656,160864355,02/19/2018 01:15:34 PM,02/19/2018 01:23:09 PM,173.173.39.104, , , , ,141268,02,19,2018,02,28,2005,12,Male,7,76708,No, , , , ,White, , ,No, ,no,Father, ,Husband, ,1,Some college or associate degree,Always,Always,Frequently,Occasionally,Never,Frequently,Always,Occasionally,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never, , , , , , , , , , , , , , , , , , , ,76708,south,2/19/2018,2/28/2005,12.974674880219,11.75 to 13.99,1,White,1
Web Link 1,6705522971,160864355,02/19/2018 07:00:55 PM,02/19/2018 07:15:23 PM,4.53.90.68, , , , ,141287,02,19,2018,11,03,2004,13,Male,7,76708,No, , , , ,White, , ,No, ,no,Father, ,Husband, ,4 or more,Bachelor's degree or higher,Always,Always,Always,Never,Occasionally,Always,Always,Frequently,Occasionally,Never,Never,Occasionally,Always,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Never, , , , , , , , , , , , , , , , , , , ,76708,south,2/19/2018,11/3/2004,13.2950034223135,11.75 to 13.99,1,White,1
Web Link 1,6706334288,160864355,02/20/2018 05:44:08 AM,02/20/2018 05:51:35 AM,173.173.39.104, , , , ,141267,02,19,2018,05,27,2002,15,Male,9,76708,No, , , , ,White, , ,Yes,T1D,yes,Father, ,Husband, ,1,Some college or associate degree,Always,Always,Always,Never,Never,Always,Always,Frequently,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Learner's Permit,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,76708,south,2/19/2018,5/27/2002,15.7344284736482,14.00 to 15.99 years,1,White,1
Web Link 1,6708040137,160864355,02/20/2018 05:32:38 PM,02/20/2018 05:45:32 PM,72.48.14.97, , , , ,141277,02,20,2018,12,19,2004,13,Female,7,76708,No, , , , ,White, , ,No, ,no,Father, ,Husband, ,2,Some college or associate degree,Frequently,Always,Frequently,Occasionally,Never,Always,Frequently,Occasionally,Occasionally,Occasionally,Never,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Always,Occasionally,Occasionally, , , , , , , , , , , , , , , , , , , ,76708,south,2/20/2018,12/19/2004,13.1718001368925,11.75 to 13.99,1,White,1
