T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,184--240,32--40,31--40,31--40,31--40,32--40,31--40,31--40,35--40
74,162--183,-,30,29--30,30,-,30,30,34
73,156--161,31,29,28,29,-,29,28--29,33
72,154--155,30,27--28,27,28,29--31,28,27,32
71,151--153,-,26,-,27,-,27,-,31
70,143--150,29,-,26,25--26,28,26,26,30
69,140--142,28,25,-,24,26--27,25,24--25,-
68,135--139,-,24,25,23,25,24,23,28--29
67,127--134,27,23,24,22,-,23,21--22,27
66,121--126,26,21--22,23,21,24,22,20,25--26
65,115--120,-,20,21--22,20,23,20--21,18--19,24
64,109--114,25,-,20,19,22,19,-,23
63,105--108,24,19,19,-,21,18,17,22
62,99--104,-,18,18,17--18,20,-,16,21
61,95--98,23,-,17,-,19,17,15,20
60,92--94,22,17,16,16,-,16,14,19
59,89--91,-,16,-,15,18,15,-,18
58,86--88,21,-,15,-,-,-,13,-
57,84--85,-,15,-,14,17,14,-,17
56,82--83,20,-,14,-,-,-,-,16
55,80--81,19,14,-,13,16,13,12,15
54,79,-,-,13,-,-,-,-,-
53,77--78,18,13,-,-,15,-,-,14
52,75--76,-,-,-,12,-,12,11,-
51,74,-,-,12,-,14,-,-,-
50,73,17,12,-,-,-,-,-,13
49,71--72,-,-,-,-,-,-,-,-
48,70,16,-,-,11,13,11,-,12
47,69,-,11,11,-,-,-,-,-
46,68,15,-,-,-,-,-,-,-
45,67,-,-,-,-,12,-,-,11
44,66,14,-,-,-,-,-,-,-
43,65,-,-,-,-,11,-,10,-
42,-,13,-,-,-,-,-,-,-
41,64,-,-,-,-,-,-,-,-
40,63,-,10,-,10,-,10,-,-
39,-,12,-,10,-,-,-,-,-
38,62,-,-,-,-,-,-,-,10
37,-,-,-,-,-,10,-,-,-
36,61,11,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-
31,60,-,-,-,-,-,-,-,-
30,-,10,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
