form,scale,n_typ,mean_typ,sd_typ,scale1,n_clin,mean_clin,sd_clin,ES
Home,SOC,218,49.61,9.56,SOC,218,57.76,10.2,0.56
,VIS,218,50.25,9.14,VIS,218,60.04,9.86,0.7
,HEA,218,50.5,8.92,HEA,218,58.89,9.78,0.61
,TOU,218,50.83,9.33,TOU,218,59.81,10.14,0.62
,TS,218,49.89,9.65,TS,218,55.76,10.58,0.39
,BOD,218,50.61,9.22,BOD,218,59.44,9.86,0.62
,BAL,218,50.71,8.53,BAL,218,61.44,9.76,0.8
,PLA,218,49.82,9.32,PLA,218,62.97,9.89,0.92
,TOT,218,50.3,9.66,TOT,218,61.35,9.51,0.77
School,SOC,194,50.13,10.28,SOC,192,60.8,10.73,0.68
,VIS,194,50.42,10.11,VIS,192,61.19,11.47,0.68
,HEA,194,50.56,9.98,HEA,192,61.55,10.57,0.72
,TOU,194,50.6,9.57,TOU,192,61.4,11.07,0.71
,TS,194,49.97,8.68,TS,192,56.46,11.67,0.45
,BOD,194,50.47,10.18,BOD,192,60.26,12.14,0.6
,BAL,194,50.4,9.65,BAL,192,58.9,11.09,0.56
,PLA,194,50.94,10.27,PLA,192,63.2,11.44,0.77
,TOT,194,50.27,9.82,TOT,192,62.1,10.89,0.77
