form_dx,scale,n_typ,mean_typ,sd_typ,n_clin,mean_clin,sd_clin,ES
Home-MH,SOC,42,50.26,9.68,40,57.17,8.36,0.5
,VIS,42,48.31,9.9,40,57.38,8.82,0.63
,HEA,42,50.05,9.37,40,57.45,8.68,0.54
,TOU,42,48.67,9.87,40,56.05,8.19,0.53
,TS,42,48.36,10.31,40,52.88,10.79,0.29
,BOD,42,47.5,8.83,40,55.3,9.14,0.58
,BAL,42,49.52,10.2,40,54.3,8.46,0.33
,PLA,42,49.69,10.92,40,57.5,8.05,0.52
,TOT,42,47.79,11.18,40,57.4,7.88,0.64
School-MH,SOC,48,50.94,10.23,47,58.36,11.38,0.47
,VIS,48,49.19,8.2,47,55.83,10.29,0.5
,HEA,48,49.38,8.93,47,57.72,9.48,0.61
,TOU,48,48.9,6.15,47,58.19,10.51,0.81
,TS,48,49.12,7.51,47,56.7,10.47,0.59
,BOD,48,49.4,7.73,47,56.04,10.95,0.5
,BAL,48,48.85,7.02,47,54.32,10.28,0.45
,PLA,48,49.94,9.74,47,58.64,10.11,0.59
,TOT,48,48.98,8.1,47,57.87,10.04,0.68
