form,scale,n,r,p
Child-512-Home-Stand,SOC,13,0.709,0.007
,VIS,,0.855,0
,HEA,,0.831,0
,TOU,,0.925,0
,BOD,,0.87,0
,BAL,,0.83,0
,PLA,,0.828,0
,TOT,,0.935,0
Child-512-Home-Clin,SOC,149,0.776,0
,VIS,,0.757,0
,HEA,,0.698,0
,TOU,,0.747,0
,BOD,,0.776,0
,BAL,,0.726,0
,PLA,,0.799,0
,TOT,,0.892,0
Child-512-School-Stand,SOC,12,0.755,0.005
,VIS,,0.864,0
,HEA,,0.789,0.002
,TOU,,0.886,0
,BOD,,0.909,0
,BAL,,0.776,0.003
,PLA,,0.892,0
,TOT,,0.969,0
Child-512-School-Clin,SOC,121,0.816,0
,VIS,,0.711,0
,HEA,,0.764,0
,TOU,,0.718,0
,BOD,,0.785,0
,BAL,,0.728,0
,PLA,,0.806,0
,TOT,,0.895,0
