form_dx,group,Variable,Category,n
Home-SLP,SLP,age_range,21 to 31.5 mo,15
,,"",2 to 4 years,24
,,"",5 years,3
,,"",5 to 8 years,14
,,"",9 to 12 years,7
,,"",12 to 13 years,2
,,"",14 to 15 years,3
,,"",16 to 17 years,2
,,"",18 to 21 years,3
,,Gender,Male,52
,,"",Female,21
,,ParentHighestEducation,Did not complete high school (no diploma),3
,,"",High school graduate (including GED),15
,,"",Some college or associate degree,18
,,"",Bachelor's degree or higher,37
,,Ethnicity,Hispanic,16
,,"",Asian,2
,,"",Black,8
,,"",White,41
,,"",AmericanIndAlaskanNat,2
,,"",NativeHawPacIsl,1
,,"",MultiRacial,2
,,"",Other,1
,Matched typical,age_range,21 to 31.5 mo,13
,,"",2 to 4 years,26
,,"",5 years,2
,,"",5 to 8 years,15
,,"",9 to 12 years,7
,,"",12 to 13 years,2
,,"",14 to 15 years,3
,,"",16 to 17 years,1
,,"",18 to 21 years,4
,,Gender,Male,52
,,"",Female,21
,,ParentHighestEducation,Did not complete high school (no diploma),3
,,"",High school graduate (including GED),15
,,"",Some college or associate degree,19
,,"",Bachelor's degree or higher,36
,,Ethnicity,Hispanic,17
,,"",Asian,2
,,"",Black,7
,,"",White,42
,,"",NativeHawPacIsl,2
,,"",MultiRacial,2
,,"",Other,1
School-SLP,SLP,age_range,2 to 4 years,24
,,"",5 years,4
,,"",5 to 8 years,13
,,"",9 to 12 years,7
,,"",12 to 13 years,2
,,"",14 to 15 years,3
,,"",16 to 17 years,3
,,"",18 to 21 years,3
,,Gender,Male,40
,,"",Female,19
,,Ethnicity,Hispanic,10
,,"",Asian,2
,,"",Black,8
,,"",White,36
,,"",AmericanIndAlaskanNat,2
,,"",NativeHawPacIsl,1
,Matched typical,age_range,2 to 4 years,24
,,"",5 years,4
,,"",5 to 8 years,13
,,"",9 to 12 years,7
,,"",12 to 13 years,2
,,"",14 to 15 years,3
,,"",16 to 17 years,3
,,"",18 to 21 years,3
,,Gender,Male,40
,,"",Female,19
,,Ethnicity,Hispanic,10
,,"",Asian,2
,,"",Black,8
,,"",White,36
,,"",AmericanIndAlaskanNat,2
,,"",NativeHawPacIsl,1
Self-SLP,SLP,age_range,14 to 15 years,5
,,"",16 to 17 years,2
,,"",18 to 21 years,4
,,"",21.00 to 30.99 years,1
,,"",51.00 to 64.99 years,1
,,"",65.00 to 99.99 years,1
,,Gender,Male,9
,,"",Female,5
,,ParentHighestEducation,Did not complete high school (no diploma),1
,,"",High school graduate (including GED),3
,,"",Bachelor's degree or higher,7
,,"",999,3
,,Ethnicity,Hispanic,3
,,"",Asian,1
,,"",Black,1
,,"",White,8
,,"",NativeHawPacIsl,1
,Matched typical,age_range,14 to 15 years,5
,,"",16 to 17 years,1
,,"",18 to 21 years,4
,,"",21.00 to 30.99 years,1
,,"",51.00 to 64.99 years,2
,,"",65.00 to 99.99 years,1
,,Gender,Male,9
,,"",Female,5
,,ParentHighestEducation,Did not complete high school (no diploma),1
,,"",High school graduate (including GED),3
,,"",Bachelor's degree or higher,6
,,"",999,4
,,Ethnicity,Hispanic,3
,,"",Asian,1
,,"",Black,1
,,"",White,8
,,"",NativeHawPacIsl,1
