form_dx,scale,n_typ,mean_typ,sd_typ,n_clin,mean_clin,sd_clin,ES
Home-ADHD,SOC,57,49.81,8.51,56,59.2,8.05,0.75
,VIS,57,50.19,7.91,56,59.29,7.72,0.77
,HEA,57,50.82,8.45,56,58.57,8.1,0.62
,TOU,57,50.35,8.37,56,57.84,9.5,0.57
,TS,57,50.09,8.6,56,54.23,9.05,0.32
,BOD,57,51.61,9.28,56,58.77,10.62,0.49
,BAL,57,50.16,8.02,56,58.39,8.15,0.68
,PLA,57,49.63,8.41,56,61.86,7.97,0.99
,TOT,57,50.25,8.65,56,59.88,7.13,0.79
School-ADHD,SOC,44,48.89,10.08,44,58.89,10.16,0.66
,VIS,44,49.16,7.23,44,58.36,9.56,0.77
,HEA,44,48.64,7.94,44,60.14,9.94,0.89
,TOU,44,48.09,7.81,44,58.61,9.59,0.83
,TS,44,49.2,7.36,44,55.45,9.48,0.52
,BOD,44,49.73,8.7,44,59.84,10.51,0.72
,BAL,44,49.98,8.55,44,57.73,9.58,0.58
,PLA,44,49.73,8.14,44,61.48,9.84,0.9
,TOT,44,48.95,8.88,44,60.18,9.78,0.82
