RespondentID,StartDate,EndDate,IPAddress,IDNumber,Month,Day,Year,DOBMonth,DOBDay,DOBYear,Age,Gender,Grade,Hispanic,AmericanIndAlaskanNat,Asian,Black,NativeHawPacIsl,White,Other,OtherSpecified,disability,q0010_other,driving,ParentHighestEducation,q0013,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0126,q0127,q0128,q0129,q0130,q0131,q0132,q0133,q0134,q0135,q0136,q0137,Zip,Region,P_RateDt,P_DOB,P_Age,AgeGroup,Count,Ethnicity,count_total,ResponseId,HighestEducation,DriveForm,q0012,q0012_other
5632413165,11/11/2019 12:01:17 PM,11/11/2019 12:27:00 PM,24.125.225.185,0,11,11,2019,12,09,2006,12,Female,7,No, , ,Black/African American, , , , ,No, ,no,Some college or associate degree,4 or more, , , , , , , , , , , , , , , , , , , ,30317,south,11/11/2019,12/9/2006,12.9226557152635,11.75 to 13.99,1,Black,1, , ,TeenSR, , 
5252615375,02/17/2017 12:42:02 PM,04/23/2019 12:09:58 PM,72.241.6.181,105020,02,17,2017,06,19,1999,17,Female,12,No, , ,Black/African American, , , , ,No, ,yes,High school graduate (including GED),2,Full License,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,43609,midwest,2/17/2017,6/19/1999,17.6673511293635,16.00 to 17.99 years,1,Black,1, , ,TeenSR, , 
 , , , ,105020,02,14,2017,06,19,1999,17,Female,12,No, , ,Black/African American, , , , ,No, ,yes,High school graduate (including GED),1,Full License,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,43609,midwest,2/14/2017,6/19/1999,17.6591375770021,16.00 to 17.99 years,1,Black,1, , ,TeenHome,Mother, 
5209041503,02/05/2017 02:38:26 PM,02/05/2017 02:50:53 PM,76.76.33.72,105026,02,05,2017,11,14,2003,13,Male,7,No, , , , ,White, , ,No, ,no,Bachelor's degree or higher,1, , , , , , , , , , , , , , , , , , , ,43504,midwest,2/5/2017,11/14/2003,13.2292950034223,11.75 to 13.99,1,White,1, , ,TeenSR, , 
 , , , ,105026,02,05,2017,11,14,2003,13,Male,7,No, , , , ,White, , ,No, ,no,Bachelor's degree or higher,2, , , , , , , , , , , , , , , , , , , ,43504,midwest,2/5/2017,11/14/2003,13.2292950034223,11.75 to 13.99,1,White,1, , ,TeenHome,Mother, 
5212231426,02/06/2017 04:41:42 PM,04/23/2019 12:13:15 PM,72.240.174.134,105034,02,06,2017,04,16,2001,15,Female,10,No, , , , ,White, , ,Yes,"POTS, Depression, and anxiety",yes,Bachelor's degree or higher,2,Learner's Permit,Frequently,Occasionally,Occasionally,Never,Occasionally,Occasionally,Never,Occasionally,Never,Occasionally,Frequently,Frequently,Never,Never,Never,Occasionally,Frequently,Occasionally,43551,midwest,2/6/2017,4/16/2001,15.8110882956879,14.00 to 15.99 years,1,White,1, , ,TeenSR, , 
 , , , ,105034,02,06,2017,04,16,2001,15,Female,10,No, , , , ,White, , ,Yes,"POTS, anxiety, depression",yes,Bachelor's degree or higher,3,Learner's Permit,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Never,Occasionally,Frequently,Frequently,Never,Occasionally,Never,Frequently,Occasionally,Frequently,43551,midwest,2/6/2017,4/16/2001,15.8110882956879,14.00 to 15.99 years,1,White,1, , ,TeenHome,Mother, 
5215599854,02/07/2017 05:08:42 PM,02/07/2017 05:40:46 PM,72.241.146.188,105041,02,07,2017,07,02,2004,12,Male,7,No, , , , ,White, , ,Yes,fine motor delay,no,Bachelor's degree or higher,1, , , , , , , , , , , , , , , , , , , ,48182,midwest,2/7/2017,7/2/2004,12.6023271731691,11.75 to 13.99,1,White,1, , ,TeenSR, , 
 , , , ,105041,02,08,2017,07,02,2004,12,Male,7,No, , , , ,White, , ,Yes,Fine Motor Delay,no,Bachelor's degree or higher,1, , , , , , , , , , , , , , , , , , , ,48182,midwest,2/8/2017,7/2/2004,12.6050650239562,11.75 to 13.99,1,White,1, , ,TeenHome,Mother, 
5261013823,02/23/2017 06:45:01 PM,02/23/2017 07:02:47 PM,107.11.23.198,105058,02,23,2017,11,11,1999,17,Male,11,No, , , , ,White, , ,No, ,yes,Bachelor's degree or higher,1,Restricted License,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,43566,midwest,2/23/2017,11/11/1999,17.2867898699521,16.00 to 17.99 years,1,White,1, , ,TeenSR, , 
