RespondentID,StartDate,EndDate,IPAddress,IDNumber,Month,Day,Year,DOBMonth,DOBDay,DOBYear,Age,Gender,Grade,Hispanic,AmericanIndAlaskanNat,Asian,Black,NativeHawPacIsl,White,Other,OtherSpecified,disability,q0010_other,driving,ParentHighestEducation,q0013,q0014,q0015,q0016,q0017,q0018,q0019,q0020,q0021,q0022,q0023,q0024,q0025,q0026,q0027,q0028,q0029,q0030,q0031,q0032,q0033,q0034,q0035,q0036,q0037,q0038,q0039,q0040,q0041,q0042,q0043,q0044,q0045,q0046,q0047,q0048,q0049,q0050,q0051,q0052,q0053,q0054,q0055,q0056,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0065,q0066,q0067,q0068,q0069,q0070,q0071,q0072,q0073,q0074,q0075,q0076,q0077,q0078,q0079,q0080,q0081,q0082,q0083,q0084,q0085,q0086,q0087,q0088,q0089,q0090,q0091,q0092,q0093,q0094,q0095,q0096,q0097,q0098,q0099,q0100,q0101,q0102,q0103,q0104,q0105,q0106,q0107,q0108,q0109,q0110,q0111,q0112,q0113,q0114,q0115,q0116,q0117,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0126,q0127,q0128,q0129,q0130,q0131,q0132,q0133,q0134,q0135,q0136,q0137,Zip,Region,P_RateDt,P_DOB,P_Age,AgeGroup,Count,Ethnicity,count_total,ResponseId,HighestEducation
 ,12/5/2019 12:04,12/5/2019 12:21,172.58.107.30, ,12,05,2019,03,04,1997,                                      21,Male,12,No, , , , ,White, , ,No, ,no, , ,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Always,Always,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Frequently,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never, , , , , , , , , , , , , , , , , , , ,74820,south,12/5/2019,3/4/1997,22.7542778918549, ,1,White,1,R_x4KA7A09lvHymv7,did not complete High School
5632413165,11/11/2019 12:01:17 PM,11/11/2019 12:27:00 PM,24.125.225.185,0,11,11,2019,12,09,2006,12,Female,7,No, , ,Black/African American, , , , ,No, ,no,Some college or associate degree,4 or more,Frequently,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Never,Always,Occasionally,Occasionally,Occasionally,Occasionally,Always,Occasionally,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Never,Never,Occasionally,Never,Frequently,Occasionally,Never,Never,Never,Never,Frequently,Never,Occasionally,Never,Occasionally,Occasionally,Always,Occasionally,Always,Frequently,Occasionally,Never,Never,Never,Never,Never,Frequently,Frequently,Always,Always,Occasionally,Occasionally,Frequently,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Always,Frequently,Occasionally,Never,Occasionally,Never,Frequently,Frequently,Frequently,Never,Always,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally, , , , , , , , , , , , , , , , , , , ,30317,south,11/11/2019,12/9/2006,12.9226557152635,11.75 to 13.99,1,Black,1, , 
5252615375,02/17/2017 12:42:02 PM,04/23/2019 12:09:58 PM,72.241.6.181,105020,02,17,2017,06,19,1999,17,Female,12,No, , ,Black/African American, , , , ,No, ,yes,High school graduate (including GED),2,Always,Always,Always,Always,Frequently,Never,Never,Frequently,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Full License,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,43609,midwest,2/17/2017,6/19/1999,17.6673511293635,16.00 to 17.99 years,1,Black,1, , 
5209041503,02/05/2017 02:38:26 PM,02/05/2017 02:50:53 PM,76.76.33.72,105026,02,05,2017,11,14,2003,13,Male,7,No, , , , ,White, , ,No, ,no,Bachelor's degree or higher,1,Always,Always,Frequently,Frequently,Occasionally,Never,Never,Occasionally,Never,Never,Never,Occasionally,Frequently,Never,Occasionally,Occasionally,Always,Occasionally,Never,Never,Never,Frequently,Occasionally,Always,Occasionally,Never,Never,Occasionally,Frequently,Occasionally,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,Frequently,Always,Occasionally,Frequently,Never,Occasionally,Occasionally,Never,Always,Frequently,Never,Occasionally,Never,Never,Occasionally,Occasionally,Frequently,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Always,Frequently,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Always,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Frequently,Occasionally,Never,Occasionally,Occasionally,Frequently,Always,Occasionally,Occasionally,Frequently,Never,Always,Never,Occasionally, , , , , , , , , , , , , , , , , , , ,43504,midwest,2/5/2017,11/14/2003,13.2292950034223,11.75 to 13.99,1,White,1, , 
5212231426,02/06/2017 04:41:42 PM,04/23/2019 12:13:15 PM,72.240.174.134,105034,02,06,2017,04,16,2001,15,Female,10,No, , , , ,White, , ,Yes,"POTS, Depression, and anxiety",yes,Bachelor's degree or higher,2,Frequently,Frequently,Occasionally,Frequently,Frequently,Never,Never,Always,Never,Frequently,Occasionally,Occasionally,Frequently,Always,Always,Never,Frequently,Never,Never,Never,Occasionally,Occasionally,Always,Frequently,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Never,Always,Occasionally,Always,Occasionally,Never,Never,Never,Never,Occasionally,Always,Frequently,Never,Never,Always,Frequently,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Never,Frequently,Occasionally,Occasionally,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Occasionally,Never,Frequently,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Never,Frequently,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Learner's Permit,Frequently,Occasionally,Occasionally,Never,Occasionally,Occasionally,Never,Occasionally,Never,Occasionally,Frequently,Frequently,Never,Never,Never,Occasionally,Frequently,Occasionally,43551,midwest,2/6/2017,4/16/2001,15.8110882956879,14.00 to 15.99 years,1,White,1, , 
5215599854,02/07/2017 05:08:42 PM,02/07/2017 05:40:46 PM,72.241.146.188,105041,02,07,2017,07,02,2004,12,Male,7,No, , , , ,White, , ,Yes,fine motor delay,no,Bachelor's degree or higher,1,Always,Frequently,Frequently,Always,Always,Occasionally,Occasionally,Frequently,Occasionally,Never,Occasionally,Frequently,Occasionally,Frequently,Occasionally,Occasionally,Always,Frequently,Frequently,Never,Occasionally,Never,Always,Never,Occasionally,Occasionally,Frequently,Frequently,Always,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Frequently,Never,Occasionally,Frequently,Frequently,Occasionally,Frequently,Occasionally,Frequently,Occasionally,Never,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Frequently,Always,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Always,Frequently,Occasionally,Frequently,Frequently,Never,Never,Frequently,Always,Occasionally,Occasionally,Frequently,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Always,Never,Never,Occasionally,Occasionally,Never,Frequently,Frequently,Occasionally,Always,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,Occasionally, , , , , , , , , , , , , , , , , , , ,48182,midwest,2/7/2017,7/2/2004,12.6023271731691,11.75 to 13.99,1,White,1, , 
5261013823,02/23/2017 06:45:01 PM,02/23/2017 07:02:47 PM,107.11.23.198,105058,02,23,2017,11,11,1999,17,Male,11,No, , , , ,White, , ,No, ,yes,Bachelor's degree or higher,1,Always,Always,Always,Always,Occasionally,Never,Never,Always,Never,Never,Never,Never,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Frequently,Never,Never,Never,Never,Frequently,Never,Frequently,Restricted License,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,43566,midwest,2/23/2017,11/11/1999,17.2867898699521,16.00 to 17.99 years,1,White,1, , 
5238216665,02/12/2017 02:38:34 PM,02/12/2017 02:49:54 PM,108.45.132.248,105064,02,12,2017,04,30,2001,15,Male,10,No, , , , ,White, , ,No, ,no,Bachelor's degree or higher,1,Frequently,Frequently,Always,Always,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Frequently,Always,Never,Occasionally,Never,Never,Occasionally,Frequently,Occasionally,Never,Frequently,Occasionally,Occasionally,Never,Never,Never,Occasionally,Frequently,Occasionally,Occasionally,Never,Frequently,Occasionally,Never,Occasionally,Occasionally,Never,Frequently,Occasionally,Never,Never,Frequently,Always,Occasionally,Never,Never,Never,Never,Frequently,Never,Frequently,Never,Never,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Frequently,Never,Frequently,Occasionally,Occasionally,Occasionally,Frequently,Always,Occasionally,Never,Never,Never,Frequently,Frequently,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Frequently,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Frequently,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally, , , , , , , , , , , , , , , , , , , ,20878,south,2/12/2017,4/30/2001,15.7891854893908,14.00 to 15.99 years,1,White,1, , 
5244240650,02/13/2017 05:11:53 PM,02/13/2017 05:26:14 PM,108.45.132.248,105065,02,13,2017,01,02,1999,18,Female,12,No, , , , ,White, , ,No, ,yes,Bachelor's degree or higher,1,Always,Frequently,Frequently,Always,Frequently,Occasionally,Never,Always,Occasionally,Never,Never,Occasionally,Always,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Full License,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,20878,south,2/13/2017,1/2/1999,18.1163586584531,18.00 to 22.25 years,1,White,1, , 
5248356549,02/15/2017 08:35:07 AM,04/23/2019 12:16:25 PM,24.52.68.230,105098,02,15,2017,05,19,2001,15,Male,10,No, , ,Black/African American, , , , ,No, ,no,Some college or associate degree,4 or more,Frequently,Frequently,Always,Always,Frequently,Never,Never,Occasionally,Occasionally,Occasionally,Never,Frequently,Frequently,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Never,Occasionally,Never,Always,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally, , , , , , , , , , , , , , , , , , , ,43608,midwest,2/15/2017,5/19/2001,15.7453798767967,14.00 to 15.99 years,1,Black,1, , 
