T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,162--240,36--40,32--40,32--40,30--40,34--40,35--40,34--40,35--40
74,155--161,34--35,31,30--31,29,30--33,30--34,25--33,-
73,150--154,33,-,28--29,27--28,25--29,-,-,32--34
72,143--149,-,26--30,-,26,-,27--29,24,28--31
71,142,32,-,27,-,24,26,-,-
70,136--141,-,25,-,25,22--23,-,23,27
69,132--135,31,24,26,24,21,25,22,26
68,128--131,-,23,25,23,20,24,20--21,-
67,125--127,-,-,-,22,19,23,-,-
66,118--124,30,22,24,21,18,22,19,25
65,113--117,-,-,23,20,17,21,-,24
64,106--112,29,21,22,19,16,20,18,23
63,104--105,28,20,21,-,15,19,17,22
62,100--103,27,19,19--20,18,-,18,-,21
61,96--99,26,-,18,17,14,-,16,-
60,94--95,-,18,-,-,-,17,-,20
59,92--93,25,-,17,16,-,16,15,-
58,89--91,24,17,-,-,13,15,-,19
57,86--88,-,16,16,15,-,-,14,18
56,84--85,23,-,-,14,-,14,-,-
55,81--83,22,15,15,-,12,-,13,17
54,79--80,-,-,-,-,-,13,-,16
53,77--78,21,14,14,13,-,-,12,-
52,75--76,-,-,-,-,-,-,-,15
51,74,20,-,-,-,-,12,-,-
50,73,19,13,13,12,11,-,-,14
49,71--72,18,-,-,-,-,-,11,-
48,70,-,-,12,-,-,11,-,13
47,68--69,17,12,-,11,-,-,-,-
46,67,16,-,-,-,-,-,-,12
45,66,15,-,-,-,-,-,-,-
44,65,-,-,11,-,-,-,-,-
43,-,14,11,-,-,-,-,-,11
42,64,-,-,-,-,-,-,-,-
41,63,13,-,-,-,10,-,10,-
40,-,-,-,-,-,-,10,-,-
39,62,12,-,-,10,-,-,-,-
38,-,-,-,-,-,-,-,-,-
37,61,-,10,10,-,-,-,-,10
36,-,11,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-
32,60,-,-,-,-,-,-,-,-
31,-,10,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
