form,n,scale,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,TOT_NT,PLA_NT,SOC_NT
Child-512-Home,875,VIS_NT,1,0.62,0.615,0.506,0.585,0.581,0.784,0.616,0.482
,,HEA_NT,0.62,1,0.636,0.55,0.555,0.571,0.794,0.568,0.37
,,TOU_NT,0.615,0.636,1,0.639,0.649,0.614,0.842,0.649,0.396
,,TS_NT,0.506,0.55,0.639,1,0.538,0.495,0.784,0.483,0.325
,,BOD_NT,0.585,0.555,0.649,0.538,1,0.679,0.816,0.631,0.455
,,BAL_NT,0.581,0.571,0.614,0.495,0.679,1,0.767,0.631,0.356
,,TOT_NT,0.784,0.794,0.842,0.784,0.816,0.767,1,0.719,0.493
,,PLA_NT,0.616,0.568,0.649,0.483,0.631,0.631,0.719,1,0.544
,,SOC_NT,0.482,0.37,0.396,0.325,0.455,0.356,0.493,0.544,1
Child-512-School,617,VIS_NT,1,0.785,0.694,0.491,0.628,0.656,0.866,0.709,0.485
,,HEA_NT,0.785,1,0.76,0.484,0.696,0.662,0.892,0.749,0.555
,,TOU_NT,0.694,0.76,1,0.639,0.779,0.704,0.89,0.649,0.474
,,TS_NT,0.491,0.484,0.639,1,0.494,0.528,0.675,0.369,0.25
,,BOD_NT,0.628,0.696,0.779,0.494,1,0.724,0.846,0.587,0.43
,,BAL_NT,0.656,0.662,0.704,0.528,0.724,1,0.84,0.544,0.289
,,TOT_NT,0.866,0.892,0.89,0.675,0.846,0.84,1,0.731,0.502
,,PLA_NT,0.709,0.749,0.649,0.369,0.587,0.544,0.731,1,0.577
,,SOC_NT,0.485,0.555,0.474,0.25,0.43,0.289,0.502,0.577,1
