form_dx,scale,n_typ,mean_typ,sd_typ,n_clin,mean_clin,sd_clin,ES
Home-SLP,SOC,80,50.54,9.04,73,51.95,12.08,0.09
,VIS,80,48.23,9.41,73,52.51,10.44,0.29
,HEA,80,48.08,9.58,73,50.95,10.04,0.2
,TOU,80,48.76,8.91,73,52.88,8.99,0.31
,TS,80,48.4,9.08,73,49.05,10.39,0.05
,BOD,80,49.73,9.03,73,53.15,11.42,0.23
,BAL,80,47.54,8.46,73,55.05,10.8,0.54
,PLA,80,48.52,9.1,73,58.38,12.83,0.64
,TOT,80,47.98,9.27,73,53.3,9.77,0.38
School-SLP,SOC,59,50.81,9.59,59,52.98,11.74,0.14
,VIS,59,50.53,9.66,59,58.47,12.31,0.5
,HEA,59,50.25,8.87,59,58.42,11.18,0.57
,TOU,59,49.98,8.67,59,57.05,10.82,0.5
,TS,59,49.15,8.05,59,52.02,9.86,0.22
,BOD,59,50.59,8.73,59,56.03,11.64,0.37
,BAL,59,51.56,9.39,59,58.32,11.89,0.44
,PLA,59,52.05,9.35,59,60,12.35,0.51
,TOT,59,49.97,9.61,59,58.34,12.02,0.54
Self-SLP,SOC,14,45.29,9.5,14,54.5,11.53,0.6
,VIS,14,45.29,8.77,14,56.43,10.9,0.78
,HEA,14,47.71,10.39,14,52.93,9.47,0.34
,TOU,14,49.64,9.18,14,53,9.31,0.24
,TS,14,47,9.66,14,51.14,13.11,0.26
,BOD,14,46.57,8.95,14,51.36,9.62,0.35
,BAL,14,47.36,8.5,14,55.07,10.12,0.57
,PLA,14,47.64,7.42,14,59.5,10.23,0.95
,TOT,14,46.93,9.24,14,54.43,8.54,0.56
