form_dx,scale,n_typ,mean_typ,sd_typ,n_clin,mean_clin,sd_clin,ES
Home-ADHD,SOC,57,49.81,8.51,56,59.2,8.05,0.75
,VIS,57,50.19,7.91,56,59.29,7.72,0.77
,HEA,57,50.82,8.45,56,58.57,8.1,0.62
,TOU,57,50.35,8.37,56,57.84,9.5,0.57
,TS,57,50.09,8.6,56,54.23,9.05,0.32
,BOD,57,51.61,9.28,56,58.77,10.62,0.49
,BAL,57,50.16,8.02,56,58.39,8.15,0.68
,PLA,57,49.63,8.41,56,61.86,7.97,0.99
,TOT,57,50.25,8.65,56,59.88,7.13,0.79
School-ADHD,SOC,44,48.02,9.97,44,57.59,10.49,0.63
,VIS,44,50.14,8.09,44,59.61,9.3,0.74
,HEA,44,49.93,8.48,44,62.25,10.44,0.9
,TOU,44,49.64,7.91,44,59.27,10.46,0.73
,TS,44,49.09,7.34,44,54.93,9.77,0.48
,BOD,44,50.14,7.72,44,59.07,10.84,0.68
,BAL,44,51.66,9.23,44,59.18,9.85,0.53
,PLA,44,49.36,9.84,44,63.73,9.63,0.98
,TOT,44,49.95,8.78,44,61.09,10.01,0.81
